repeat,warmup,output_tps,accept_length,verify_steps,ttft_s,elapsed_s,first_event_tokens,output_tokens,max_repeated_16gram,output_text_sha256
0,True,840.0309818933474,5.475935828877005,187,0.729364993982017,1.9471772200195119,1,1024,2,d1bfeb407688474c1828b3551db6e8f32e0976676f6a77b4f3744be232820a9b
1,False,847.9607368781947,5.505376344086022,186,0.20631979301106185,1.412743575987406,1,1024,5,e616b388a9802c8d27056b6287b92d13e1a22be414a3e70e561a49a23790f506
2,False,856.0096072690486,5.535135135135135,185,0.20706046791747212,1.4021405129460618,1,1024,2,29979d281f5b9d09571e6ff76aff77e170a38e82be1e2786500fff1c26a3dbcb
3,False,843.9057308477344,5.475935828877005,187,0.2089244769886136,1.4211451819865033,1,1024,7,53590d5cc688fce2d290a9d9fdae77874de47aaf3a1f1402cf38ba614c425746
4,False,851.5632286555133,5.535135135135135,185,0.20513408991973847,1.4064541629049927,1,1024,49,09334e560947136939039ea33738feea63c1bdeda8c96330d490243f4da5263c
5,False,846.6620437026983,5.475935828877005,187,0.2026211810298264,1.4108954949770123,1,1024,76,dba8733e6146556d79ea5dd8467ddda3ebfd984b15f76bfd32bd0e375d4637f3
6,False,848.5929466046333,5.505376344086022,186,0.20385715609882027,1.409382142010145,1,1024,4,078207e8914718aba6bb0ead1cca45a55a76ebf3bd45764911046850479c732d
