2026/09/25 01:29:05.592, 2, 2070 MHz, 3996 MHz, 263.84 W, 35, 12 %, 0x0000000000000000
2026/09/25 01:29:05.592, 3, 2070 MHz, 3996 MHz, 260.17 W, 35, 96 %, 0x0000000000000000
2026/09/25 01:29:05.792, 0, 2070 MHz, 3996 MHz, 297.29 W, 36, 94 %, 0x0000000000000000
2026/09/25 01:29:05.792, 1, 2070 MHz, 3996 MHz, 302.98 W, 36, 96 %, 0x0000000000000000
2026/09/25 01:29:05.792, 2, 2070 MHz, 3996 MHz, 296.14 W, 35, 21 %, 0x0000000000000000
2026/09/25 01:29:05.792, 3, 2070 MHz, 3996 MHz, 286.83 W, 36, 94 %, 0x0000000000000000
2026/09/25 01:29:05.992, 0, 2070 MHz, 3996 MHz, 334.53 W, 36, 94 %, 0x0000000000000000
2026/09/25 01:29:05.992, 1, 2070 MHz, 3996 MHz, 338.89 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:29:05.992, 2, 2070 MHz, 3996 MHz, 333.72 W, 36, 66 %, 0x0000000000000000
2026/09/25 01:29:05.992, 3, 2070 MHz, 3996 MHz, 324.28 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:29:06.192, 0, 2070 MHz, 3996 MHz, 368.96 W, 36, 88 %, 0x0000000000000000
2026/09/25 01:29:06.192, 1, 2070 MHz, 3996 MHz, 374.65 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:29:06.192, 2, 2070 MHz, 3996 MHz, 367.76 W, 36, 78 %, 0x0000000000000000
2026/09/25 01:29:06.192, 3, 2070 MHz, 3996 MHz, 363.62 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:29:06.392, 0, 2070 MHz, 3996 MHz, 404.41 W, 36, 79 %, 0x0000000000000000
2026/09/25 01:29:06.393, 1, 2070 MHz, 3996 MHz, 405.13 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:29:06.393, 2, 2070 MHz, 3996 MHz, 397.96 W, 36, 66 %, 0x0000000000000000
2026/09/25 01:29:06.393, 3, 2070 MHz, 3996 MHz, 395.08 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:29:06.593, 0, 2070 MHz, 3996 MHz, 412.60 W, 36, 88 %, 0x0000000000000000
2026/09/25 01:29:06.593, 1, 2070 MHz, 3996 MHz, 409.08 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:29:06.593, 2, 2070 MHz, 3996 MHz, 404.93 W, 36, 72 %, 0x0000000000000000
2026/09/25 01:29:06.593, 3, 2070 MHz, 3996 MHz, 412.32 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:29:06.793, 0, 2070 MHz, 3996 MHz, 419.79 W, 36, 88 %, 0x0000000000000000
2026/09/25 01:29:06.793, 1, 2070 MHz, 3996 MHz, 413.02 W, 37, 100 %, 0x0000000000000000
2026/09/25 01:29:06.793, 2, 2070 MHz, 3996 MHz, 407.95 W, 36, 69 %, 0x0000000000000000
2026/09/25 01:29:06.793, 3, 2070 MHz, 3996 MHz, 422.09 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:29:06.993, 0, 2070 MHz, 3996 MHz, 417.42 W, 37, 92 %, 0x0000000000000000
2026/09/25 01:29:06.993, 1, 2070 MHz, 3996 MHz, 410.88 W, 37, 100 %, 0x0000000000000000
2026/09/25 01:29:06.993, 2, 2070 MHz, 3996 MHz, 402.50 W, 37, 72 %, 0x0000000000000000
2026/09/25 01:29:06.993, 3, 2070 MHz, 3996 MHz, 423.59 W, 37, 100 %, 0x0000000000000000
2026/09/25 01:29:07.193, 0, 2070 MHz, 3996 MHz, 409.32 W, 37, 98 %, 0x0000000000000000
2026/09/25 01:29:07.193, 1, 2070 MHz, 3996 MHz, 400.75 W, 37, 96 %, 0x0000000000000000
