repeat,warmup,output_tps,accept_length,verify_steps,ttft_s,elapsed_s,first_event_tokens,output_tokens,max_repeated_16gram,output_text_sha256
0,True,297.4549101752954,2.708994708994709,378,0.17268735822290182,3.6118640704080462,1,1024,1,efb6e8c190066fffd3d6ed30e8bb02b971c7af9c7b24640c60459de0c06b9300
1,False,307.27857463673996,2.8054794520547945,365,0.14418710954487324,3.4734136955812573,1,1024,3,625eacae4e8103b57c2b23dc311e62f8f2d39cd83a86abb573440b275fbd4778
2,False,356.36732826222163,3.261146496815287,314,0.14409189950674772,3.0147254252806306,1,1024,4,8320d9472ba25851259f12c9f30ff1920b2585d27a968e6e434b6f5acb81a303
3,False,577.1322759085447,5.251282051282051,195,0.14284353144466877,1.9154007816687226,1,1024,62,40340c98399edc7d51f3b8226b35a71de0e9462e5f8fd937266b9b9571bb3a33
4,False,287.2907086767291,2.6189258312020463,391,0.14307811856269836,3.703931181691587,1,1024,1,8ee244b355bfc9c00d74ad5371e76c9ffb38e126ab0a9788764a08db6c3e4c18
5,False,563.0981146367533,5.1457286432160805,199,0.14259554259479046,1.959330447949469,1,1024,15,504d1ec2b9bd796106e2e417d60f8f493ee758bc318290a9509543462e421eb6
6,False,368.8745349110184,3.3684210526315788,304,0.1432733153924346,2.9165739994496107,1,1024,3,3b2ae1341e11ad69e83ec73bdf0184c7e15f4313902b09ecb21aa90729b4f556
