repeat,warmup,output_tps,accept_length,verify_steps,ttft_s,elapsed_s,first_event_tokens,output_tokens,max_repeated_16gram,output_text_sha256
0,True,1213.5261661196105,5.475935828877005,187,2.2007263869745657,3.043724279035814,1,1024,933,6ce5b99c5c587490966b67e50d06b11e55cd8e2919f9eef31a77991b272d42de
1,False,1192.199389780673,5.505376344086022,186,0.2201369380345568,1.0782148810103536,1,1024,1,559a624626289dd7b562f1fdf28e9eba801dc4fb968391ed532a57155ae7906d
2,False,1214.5931407052233,5.535135135135135,185,0.21098884008824825,1.0532461900729686,1,1024,346,6478380c9a6e91d45e075598491586d2345a68407dbdf9af9afd566e2d6d6dc3
3,False,1191.8073165725962,5.505376344086022,186,0.2141725179972127,1.0725327460095286,1,1024,3,eceaa804a4c349112f7997be74e80988aaed9b3b9046e2fdff5f7d94cea1cc57
4,False,1205.9657022256138,5.535135135135135,185,0.21210510306991637,1.0603879340924323,1,1024,342,a191ce26937409ca2b35bed19e91f8f72f45747c508f46f39d0098ceb019a81b
5,False,1185.04964026579,5.446808510638298,188,0.21502746699843556,1.0782824440393597,1,1024,2,eb7da4cb0f9e086cd84b6cbc0221b6876c3b4429f08ae055a46e40d03a3032d9
6,False,1188.0072500357444,5.505376344086022,186,0.21356920897960663,1.0746750649996102,1,1024,1,6d8bcf0d481e74226fa957bd4fc3cd21fe69c0e1d719b1becfd34b390d330a26
