repeat,warmup,output_tps,accept_length,verify_steps,ttft_s,elapsed_s,first_event_tokens,output_tokens,max_repeated_16gram,output_text_sha256
0,True,849.7781866835803,5.475935828877005,187,0.7245997959980741,1.9284433589782566,1,1024,1,df4697357e701c3fc85059d1f731d6eb08d86023d4fb827ab0463bb305c495f2
1,False,838.059514471614,5.505376344086022,186,0.31543487892486155,1.5361119100125507,1,1024,7,fd52cd775306609ed45b24fc68a02e09e0038cbfe33571a62452559e6deb533e
2,False,852.4407183996783,5.535135135135135,185,0.29133539902977645,1.4914188510738313,1,1024,279,be659bf35588c1f4624451e2a13987e5380cf8c87c63308f8da5072fc634c3c5
3,False,787.1355265815071,5.475935828877005,187,0.3037416839506477,1.6033908110111952,1,1024,13,825ceed33df632e845d19a6b8a38782cd7542fa0bd8a862cebdb9c466cd61125
4,False,826.7384101996885,5.535135135135135,185,0.29548299801535904,1.532875609002076,1,1024,102,d715cb6e88b58000a3f88da4b080800768a775e2efa5ff5513651f370934cb52
5,False,800.6307486281495,5.475935828877005,187,0.28707608697004616,1.5648186689941213,1,1024,7,b3d02fecd963b56a7cc76b99266f15e3fe2a5c295221afcca26fef7aef9f9dea
6,False,840.346090569092,5.505376344086022,186,0.3015867320355028,1.5189423090778291,1,1024,6,ac02a88b26919ae213f3fc03d146efb948a13595ef859a3e8554695f1f7acb39
