2026/09/25 01:20:43.843, 2, 2070 MHz, 3996 MHz, 256.61 W, 35, 10 %, 0x0000000000000000
2026/09/25 01:20:43.843, 3, 2070 MHz, 3996 MHz, 257.00 W, 35, 95 %, 0x0000000000000000
2026/09/25 01:20:44.044, 0, 2070 MHz, 3996 MHz, 296.38 W, 36, 95 %, 0x0000000000000000
2026/09/25 01:20:44.044, 1, 2070 MHz, 3996 MHz, 286.57 W, 36, 96 %, 0x0000000000000000
2026/09/25 01:20:44.044, 2, 2070 MHz, 3996 MHz, 293.24 W, 36, 21 %, 0x0000000000000000
2026/09/25 01:20:44.044, 3, 2070 MHz, 3996 MHz, 291.68 W, 36, 95 %, 0x0000000000000000
2026/09/25 01:20:44.244, 0, 2070 MHz, 3996 MHz, 332.19 W, 36, 87 %, 0x0000000000000000
2026/09/25 01:20:44.244, 1, 2070 MHz, 3996 MHz, 318.23 W, 36, 95 %, 0x0000000000000000
2026/09/25 01:20:44.244, 2, 2070 MHz, 3996 MHz, 329.19 W, 36, 60 %, 0x0000000000000000
2026/09/25 01:20:44.244, 3, 2070 MHz, 3996 MHz, 324.38 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:20:44.444, 0, 2070 MHz, 3996 MHz, 372.01 W, 36, 94 %, 0x0000000000000000
2026/09/25 01:20:44.444, 1, 2070 MHz, 3996 MHz, 355.18 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:20:44.444, 2, 2070 MHz, 3996 MHz, 367.11 W, 36, 80 %, 0x0000000000000000
2026/09/25 01:20:44.444, 3, 2070 MHz, 3996 MHz, 367.77 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:20:44.644, 0, 2070 MHz, 3996 MHz, 410.28 W, 36, 90 %, 0x0000000000000000
2026/09/25 01:20:44.644, 1, 2070 MHz, 3996 MHz, 393.02 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:20:44.644, 2, 2070 MHz, 3996 MHz, 405.85 W, 36, 84 %, 0x0000000000000000
2026/09/25 01:20:44.644, 3, 2070 MHz, 3996 MHz, 404.13 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:20:44.844, 0, 2070 MHz, 3996 MHz, 428.08 W, 36, 96 %, 0x0000000000000000
2026/09/25 01:20:44.844, 1, 2070 MHz, 3996 MHz, 419.02 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:20:44.844, 2, 2070 MHz, 3996 MHz, 422.31 W, 36, 81 %, 0x0000000000000000
2026/09/25 01:20:44.844, 3, 2070 MHz, 3996 MHz, 423.73 W, 36, 99 %, 0x0000000000000000
2026/09/25 01:20:45.044, 0, 2070 MHz, 3996 MHz, 437.66 W, 37, 94 %, 0x0000000000000000
2026/09/25 01:20:45.044, 1, 2070 MHz, 3996 MHz, 423.71 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:20:45.044, 2, 2070 MHz, 3996 MHz, 424.22 W, 37, 79 %, 0x0000000000000000
2026/09/25 01:20:45.044, 3, 2070 MHz, 3996 MHz, 431.89 W, 37, 100 %, 0x0000000000000000
2026/09/25 01:20:45.245, 0, 2070 MHz, 3996 MHz, 433.36 W, 37, 70 %, 0x0000000000000000
2026/09/25 01:20:45.245, 1, 2070 MHz, 3996 MHz, 429.01 W, 37, 100 %, 0x0000000000000000
2026/09/25 01:20:45.245, 2, 2070 MHz, 3996 MHz, 422.73 W, 37, 83 %, 0x0000000000000000
2026/09/25 01:20:45.245, 3, 2070 MHz, 3996 MHz, 431.96 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:20:45.445, 0, 2070 MHz, 3996 MHz, 428.86 W, 37, 94 %, 0x0000000000000000
2026/09/25 01:20:45.445, 1, 2070 MHz, 3996 MHz, 425.77 W, 37, 70 %, 0x0000000000000000
2026/09/25 01:20:45.445, 2, 2070 MHz, 3996 MHz, 422.56 W, 37, 26 %, 0x0000000000000000
2026/09/25 01:20:45.445, 3, 2070 MHz, 3996 MHz, 427.81 W, 37, 94 %, 0x0000000000000000
2026/09/25 01:20:45.645, 0, 2070 MHz, 3996 MHz, 426.02 W, 37, 88 %, 0x0000000000000000
2026/09/25 01:20:45.645, 1, 2070 MHz, 3996 MHz, 426.18 W, 37, 94 %, 0x0000000000000000
2026/09/25 01:20:45.645, 2, 2070 MHz, 3996 MHz, 420.32 W, 37, 37 %, 0x0000000000000000
2026/09/25 01:20:45.645, 3, 2070 MHz, 3996 MHz, 429.11 W, 37, 94 %, 0x0000000000000000
2026/09/25 01:20:45.845, 0, 2070 MHz, 3996 MHz, 421.17 W, 37, 90 %, 0x0000000000000000
2026/09/25 01:20:45.845, 1, 2070 MHz, 3996 MHz, 423.79 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:20:45.845, 2, 2070 MHz, 3996 MHz, 416.19 W, 37, 71 %, 0x0000000000000000
2026/09/25 01:20:45.845, 3, 2070 MHz, 3996 MHz, 423.56 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:20:46.045, 0, 2070 MHz, 3996 MHz, 417.03 W, 37, 90 %, 0x0000000000000000
2026/09/25 01:20:46.045, 1, 2070 MHz, 3996 MHz, 418.29 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:20:46.045, 2, 2070 MHz, 3996 MHz, 409.08 W, 37, 76 %, 0x0000000000000000
2026/09/25 01:20:46.045, 3, 2070 MHz, 3996 MHz, 418.65 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:20:46.245, 0, 2070 MHz, 3996 MHz, 421.02 W, 37, 87 %, 0x0000000000000000
2026/09/25 01:20:46.245, 1, 2070 MHz, 3996 MHz, 413.50 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:20:46.245, 2, 2070 MHz, 3996 MHz, 411.94 W, 37, 73 %, 0x0000000000000000
2026/09/25 01:20:46.245, 3, 2070 MHz, 3996 MHz, 420.28 W, 37, 100 %, 0x0000000000000000
2026/09/25 01:20:46.445, 0, 2070 MHz, 3996 MHz, 423.73 W, 37, 94 %, 0x0000000000000000
