schema_version,provider,provider_detail,operation,m,n,activation_dtype,weight_dtype,weight_mode,eps,cold_compile_ms,cold_compile_reused,median_us,p10_us,p90_us,logical_bytes,logical_gbps,peak_bw_gbps,peak_bw_pct,rotation_buffers,rotation_working_set_bytes,l2_target_bytes,l2_eviction_between_calls,timed_samples
2,quack_tuned,"quack.rmsnorm.rmsnorm_fwd_tuned (CuTe, autotuned)",fwd,1,4096,float32,float32,same,1e-06,5259.356456,False,3.916,3.6704,4.0528,49152,12.551583,4312.724204,0.291036,4,196608,188743680,True,12
2,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,1,4096,float32,float32,same,1e-06,1.601303,False,4.104,4.008,4.3336,49152,11.976608,4312.724204,0.277704,4,196608,188743680,True,12
2,torch,torch.nn.functional.rms_norm,fwd,1,4096,float32,float32,same,1e-06,,False,8.196,8.0128,8.5616,49152,5.997072,4312.724204,0.139055,4,196608,188743680,True,12
2,quack_tuned,"quack.rmsnorm.rmsnorm_bwd_tuned (CuTe, autotuned)",bwd,1,4096,float32,float32,same,1e-06,29951.000141,False,15.676,14.3912,20.3272,81924,5.226078,4312.724204,0.121178,4,327696,188743680,True,12
2,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,1,4096,float32,float32,same,1e-06,1.671722,False,14.568,13.8656,21.381599,81924,5.623558,4312.724204,0.130395,4,327696,188743680,True,12
2,torch,torch.nn.functional.rms_norm autograd,bwd,1,4096,float32,float32,same,1e-06,,False,51.724,47.972,111.2592,81924,1.583868,4312.724204,0.036725,4,327696,188743680,True,12
2,quack_tuned,"quack.rmsnorm.rmsnorm_fwd_tuned (CuTe, autotuned)",fwd,256,4096,float16,float16,same,1e-06,5763.653776,False,5.316,5.0088,5.5768,4202496,790.537251,4312.724204,18.330346,4,16809984,188743680,True,12
2,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,256,4096,float16,float16,same,1e-06,0.08074,False,5.5,5.3304,5.6752,4202496,764.090186,4312.724204,17.717112,4,16809984,188743680,True,12
2,torch,torch.nn.functional.rms_norm,fwd,256,4096,float16,float16,same,1e-06,,False,9.964,9.8192,10.1568,4202496,421.767966,4312.724204,9.779618,4,16809984,188743680,True,12
2,quack_tuned,"quack.rmsnorm.rmsnorm_bwd_tuned (CuTe, autotuned)",bwd,256,4096,float16,float16,same,1e-06,34412.529306,False,23.464,22.389601,27.1568,6308864,268.874192,4312.724204,6.23444,4,25235456,188743680,True,12
2,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,256,4096,float16,float16,same,1e-06,2.273982,False,23.544,21.913599,55.368,6308864,267.960579,4312.724204,6.213256,4,25235456,188743680,True,12
2,torch,torch.nn.functional.rms_norm autograd,bwd,256,4096,float16,float16,same,1e-06,,False,56.676,49.218401,60.6544,6308864,111.314559,4312.724204,2.581073,4,25235456,188743680,True,12
2,quack_tuned,"quack.rmsnorm.rmsnorm_fwd_tuned (CuTe, autotuned)",fwd,256,4096,float16,float32,float32,1e-06,6247.458772,False,5.432,5.1544,5.6648,4210688,775.163487,4312.724204,17.973871,4,16842752,188743680,True,12
2,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,256,4096,float16,float32,float32,1e-06,0.064807,False,5.452,5.284,5.6064,4210688,772.319906,4312.724204,17.907936,4,16842752,188743680,True,12
2,torch,torch.nn.functional.rms_norm,fwd,256,4096,float16,float32,float32,1e-06,,False,39.228,38.8752,40.537601,4210688,107.33884,4312.724204,2.488887,4,16842752,188743680,True,12
2,quack_tuned,"quack.rmsnorm.rmsnorm_bwd_tuned (CuTe, autotuned)",bwd,256,4096,float16,float32,float32,1e-06,44852.476413,False,15.172,14.4688,17.132,6325248,416.902714,4312.724204,9.666807,4,25300992,188743680,True,12
2,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,256,4096,float16,float32,float32,1e-06,2.167783,False,15.1,14.4064,17.9384,6325248,418.890597,4312.724204,9.7129,4,25300992,188743680,True,12
2,torch,torch.nn.functional.rms_norm autograd,bwd,256,4096,float16,float32,float32,1e-06,,False,177.592002,174.735205,188.593598,6325248,35.616739,4312.724204,0.825852,4,25300992,188743680,True,12
2,quack_tuned,"quack.rmsnorm.rmsnorm_fwd_tuned (CuTe, autotuned)",fwd,256,4096,bfloat16,bfloat16,same,1e-06,6955.940384,False,5.484,5.368,5.908,4202496,766.319496,4312.724204,17.768804,4,16809984,188743680,True,12
2,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,256,4096,bfloat16,bfloat16,same,1e-06,0.075577,False,5.588,5.3312,5.9392,4202496,752.057273,4312.724204,17.438103,4,16809984,188743680,True,12
2,torch,torch.nn.functional.rms_norm,fwd,256,4096,bfloat16,bfloat16,same,1e-06,,False,10.176,9.8056,10.3856,4202496,412.981125,4312.724204,9.575876,4,16809984,188743680,True,12
2,quack_tuned,"quack.rmsnorm.rmsnorm_bwd_tuned (CuTe, autotuned)",bwd,256,4096,bfloat16,bfloat16,same,1e-06,36589.395514,False,24.02,22.8336,35.362399,6308864,262.650454,4312.724204,6.090129,4,25235456,188743680,True,12
2,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,256,4096,bfloat16,bfloat16,same,1e-06,2.234548,False,23.84,22.193599,28.8568,6308864,264.633558,4312.724204,6.136111,4,25235456,188743680,True,12
2,torch,torch.nn.functional.rms_norm autograd,bwd,256,4096,bfloat16,bfloat16,same,1e-06,,False,46.552001,46.295999,49.768002,6308864,135.52294,4312.724204,3.142398,4,25235456,188743680,True,12
2,quack_tuned,"quack.rmsnorm.rmsnorm_fwd_tuned (CuTe, autotuned)",fwd,256,4096,bfloat16,float32,float32,1e-06,6293.011586,False,5.348,5.1008,5.5528,4210688,787.338822,4312.724204,18.256183,4,16842752,188743680,True,12
2,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,256,4096,bfloat16,float32,float32,1e-06,0.080512,False,5.468,5.2464,5.5512,4210688,770.059991,4312.724204,17.855535,4,16842752,188743680,True,12
2,torch,torch.nn.functional.rms_norm,fwd,256,4096,bfloat16,float32,float32,1e-06,,False,39.816,38.6808,52.1616,4210688,105.753668,4312.724204,2.452131,4,16842752,188743680,True,12
2,quack_tuned,"quack.rmsnorm.rmsnorm_bwd_tuned (CuTe, autotuned)",bwd,256,4096,bfloat16,float32,float32,1e-06,37731.130823,False,15.416,14.7216,17.0672,6325248,410.304099,4312.724204,9.513803,4,25300992,188743680,True,12
2,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,256,4096,bfloat16,float32,float32,1e-06,2.03924,False,15.164,14.4608,17.2528,6325248,417.122659,4312.724204,9.671907,4,25300992,188743680,True,12
2,torch,torch.nn.functional.rms_norm autograd,bwd,256,4096,bfloat16,float32,float32,1e-06,,False,175.963998,172.6072,184.276004,6325248,35.946262,4312.724204,0.833493,4,25300992,188743680,True,12
2,quack_tuned,"quack.rmsnorm.rmsnorm_fwd_tuned (CuTe, autotuned)",fwd,256,4096,float32,float32,same,1e-06,6007.334336,False,6.084,5.8816,6.6904,8404992,1381.491126,4312.724204,32.032911,4,33619968,188743680,True,12
