repeat,warmup,output_tps,accept_length,verify_steps,ttft_s,elapsed_s,first_event_tokens,output_tokens,max_repeated_16gram,output_text_sha256
0,True,1159.1264783159363,5.475935828877005,187,2.1171923839719966,2.999753535958007,1,1024,6,d5c0b92a4cace708cfe4e04f8949296d06439242c4d0fc72585440ce7697c7fb
1,False,1205.5504817571057,5.505376344086022,186,0.21428200602531433,1.0628570059780031,1,1024,1,5a1dc54d1b5b9508b1a4c8091af42845b08db952b5d48c0d08f28f9fbe89efa1
2,False,1183.7227856037166,5.535135135135135,185,0.21307304198853672,1.0772956559667364,1,1024,5,21aeff91e345b8b44af21830070e1193f8554a08730f8ebd108af2c059c9a30b
3,False,1198.8553414281644,5.505376344086022,186,0.21183223696425557,1.0651461979141459,1,1024,0,81575006bd9ea4539a1bb3f3467de2fb29872f87c387c42d4919224dd41385d3
4,False,1208.5440607022383,5.535135135135135,185,0.21009475807659328,1.056567827006802,1,1024,1,cf62994caa685b1c7ee907c82934f9412eda3afb8295a98c8977fe434339cd0b
5,False,1159.6470218525476,5.446808510638298,188,0.21272334293462336,1.0948883299715817,1,1024,1,d482b4f5fa5a36f5e4373cb318ea5b81eeff033911039a8bf237fac2f9c6b2db
6,False,1170.8896263711235,5.505376344086022,186,0.21134688996244222,1.0850415379973128,1,1024,5,8537bebf0e6568bd2b926f667cf4588a89c0f2a8fdc0cd53418f41b64caa1787
