2026/09/25 01:23:23.623, 2, 2070 MHz, 3996 MHz, 378.09 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:23:23.623, 3, 2070 MHz, 3996 MHz, 385.23 W, 36, 99 %, 0x0000000000000000
2026/09/25 01:23:23.823, 0, 2070 MHz, 3996 MHz, 447.83 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:23:23.823, 1, 2070 MHz, 3996 MHz, 410.41 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:23:23.823, 2, 2070 MHz, 3996 MHz, 425.02 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:23:23.823, 3, 2070 MHz, 3996 MHz, 433.60 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:23:24.023, 0, 2070 MHz, 3996 MHz, 489.24 W, 37, 98 %, 0x0000000000000000
2026/09/25 01:23:24.023, 1, 2070 MHz, 3996 MHz, 457.71 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:23:24.023, 2, 2070 MHz, 3996 MHz, 471.83 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:23:24.023, 3, 2070 MHz, 3996 MHz, 479.37 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:23:24.223, 0, 2070 MHz, 3996 MHz, 479.68 W, 38, 89 %, 0x0000000000000000
2026/09/25 01:23:24.223, 1, 2070 MHz, 3996 MHz, 461.24 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:23:24.223, 2, 2070 MHz, 3996 MHz, 462.89 W, 37, 100 %, 0x0000000000000000
2026/09/25 01:23:24.223, 3, 2070 MHz, 3996 MHz, 467.42 W, 36, 84 %, 0x0000000000000000
2026/09/25 01:23:24.423, 0, 2070 MHz, 3996 MHz, 488.94 W, 37, 76 %, 0x0000000000000000
2026/09/25 01:23:24.424, 1, 2070 MHz, 3996 MHz, 465.15 W, 37, 93 %, 0x0000000000000000
2026/09/25 01:23:24.424, 2, 2070 MHz, 3996 MHz, 468.79 W, 38, 89 %, 0x0000000000000000
2026/09/25 01:23:24.424, 3, 2070 MHz, 3996 MHz, 478.64 W, 39, 33 %, 0x0000000000000000
2026/09/25 01:23:24.624, 0, 2070 MHz, 3996 MHz, 482.06 W, 37, 98 %, 0x0000000000000000
2026/09/25 01:23:24.624, 1, 2070 MHz, 3996 MHz, 463.55 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:23:24.624, 2, 2070 MHz, 3996 MHz, 462.82 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:23:24.624, 3, 2070 MHz, 3996 MHz, 471.08 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:23:24.824, 0, 2070 MHz, 3996 MHz, 477.67 W, 37, 96 %, 0x0000000000000000
2026/09/25 01:23:24.824, 1, 2070 MHz, 3996 MHz, 459.14 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:23:24.824, 2, 2070 MHz, 3996 MHz, 457.92 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:23:24.824, 3, 2070 MHz, 3996 MHz, 466.18 W, 37, 98 %, 0x0000000000000000
2026/09/25 01:23:25.024, 0, 2070 MHz, 3996 MHz, 473.30 W, 37, 98 %, 0x0000000000000000
2026/09/25 01:23:25.024, 1, 2070 MHz, 3996 MHz, 456.85 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:23:25.024, 2, 2070 MHz, 3996 MHz, 453.26 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:23:25.024, 3, 2070 MHz, 3996 MHz, 462.81 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:23:25.224, 0, 2070 MHz, 3996 MHz, 464.62 W, 37, 98 %, 0x0000000000000000
2026/09/25 01:23:25.224, 1, 2070 MHz, 3996 MHz, 459.24 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:23:25.224, 2, 2070 MHz, 3996 MHz, 450.81 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:23:25.224, 3, 2070 MHz, 3996 MHz, 458.39 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:23:25.424, 0, 2070 MHz, 3996 MHz, 467.28 W, 38, 70 %, 0x0000000000000000
2026/09/25 01:23:25.424, 1, 2070 MHz, 3996 MHz, 458.02 W, 39, 51 %, 0x0000000000000000
2026/09/25 01:23:25.424, 2, 2070 MHz, 3996 MHz, 450.94 W, 39, 56 %, 0x0000000000000000
2026/09/25 01:23:25.424, 3, 2070 MHz, 3996 MHz, 456.79 W, 38, 71 %, 0x0000000000000000
2026/09/25 01:23:25.624, 0, 2070 MHz, 3996 MHz, 474.05 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:23:25.624, 1, 2070 MHz, 3996 MHz, 461.15 W, 37, 91 %, 0x0000000000000000
2026/09/25 01:23:25.624, 2, 2070 MHz, 3996 MHz, 456.84 W, 38, 91 %, 0x0000000000000000
2026/09/25 01:23:25.624, 3, 2070 MHz, 3996 MHz, 462.87 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:23:25.824, 0, 2070 MHz, 3996 MHz, 478.81 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:23:25.824, 1, 2070 MHz, 3996 MHz, 464.90 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:23:25.824, 2, 2070 MHz, 3996 MHz, 464.42 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:23:25.824, 3, 2070 MHz, 3996 MHz, 466.68 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:23:26.025, 0, 2070 MHz, 3996 MHz, 483.80 W, 38, 100 %, 0x0000000000000000
2026/09/25 01:23:26.025, 1, 2070 MHz, 3996 MHz, 467.89 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:23:26.025, 2, 2070 MHz, 3996 MHz, 469.94 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:23:26.025, 3, 2070 MHz, 3996 MHz, 470.88 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:23:26.225, 0, 2070 MHz, 3996 MHz, 496.40 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:23:26.225, 1, 2070 MHz, 3996 MHz, 471.30 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:23:26.225, 2, 2070 MHz, 3996 MHz, 475.70 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:23:26.225, 3, 2070 MHz, 3996 MHz, 476.35 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:23:26.425, 0, 2070 MHz, 3996 MHz, 486.99 W, 39, 69 %, 0x0000000000000000
2026/09/25 01:23:26.425, 1, 2070 MHz, 3996 MHz, 468.27 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:23:26.425, 2, 2070 MHz, 3996 MHz, 469.96 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:23:26.425, 3, 2070 MHz, 3996 MHz, 469.98 W, 39, 99 %, 0x0000000000000000
2026/09/25 01:23:26.625, 0, 2070 MHz, 3996 MHz, 487.74 W, 37, 44 %, 0x0000000000000000
2026/09/25 01:23:26.625, 1, 2070 MHz, 3996 MHz, 470.76 W, 38, 92 %, 0x0000000000000000
2026/09/25 01:23:26.625, 2, 2070 MHz, 3996 MHz, 473.67 W, 38, 88 %, 0x0000000000000000
2026/09/25 01:23:26.625, 3, 2070 MHz, 3996 MHz, 471.93 W, 37, 52 %, 0x0000000000000000
2026/09/25 01:23:26.825, 0, 2070 MHz, 3996 MHz, 480.23 W, 37, 95 %, 0x0000000000000000
2026/09/25 01:23:26.825, 1, 2070 MHz, 3996 MHz, 465.38 W, 37, 97 %, 0x0000000000000000
2026/09/25 01:23:26.825, 2, 2070 MHz, 3996 MHz, 467.41 W, 38, 98 %, 0x0000000000000000
2026/09/25 01:23:26.825, 3, 2070 MHz, 3996 MHz, 469.38 W, 37, 98 %, 0x0000000000000000
2026/09/25 01:23:27.025, 0, 2070 MHz, 3996 MHz, 473.85 W, 37, 98 %, 0x0000000000000000
2026/09/25 01:23:27.025, 1, 2070 MHz, 3996 MHz, 461.76 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:23:27.025, 2, 2070 MHz, 3996 MHz, 463.45 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:23:27.025, 3, 2070 MHz, 3996 MHz, 464.85 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:23:27.225, 0, 2070 MHz, 3996 MHz, 464.23 W, 37, 98 %, 0x0000000000000000
2026/09/25 01:23:27.225, 1, 2070 MHz, 3996 MHz, 458.01 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:23:27.225, 2, 2070 MHz, 3996 MHz, 458.78 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:23:27.225, 3, 2070 MHz, 3996 MHz, 461.72 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:23:27.426, 0, 2070 MHz, 3996 MHz, 454.37 W, 38, 97 %, 0x0000000000000000
2026/09/25 01:23:27.426, 1, 2070 MHz, 3996 MHz, 457.42 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:23:27.426, 2, 2070 MHz, 3996 MHz, 454.56 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:23:27.426, 3, 2070 MHz, 3996 MHz, 456.89 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:23:27.626, 0, 2070 MHz, 3996 MHz, 463.90 W, 38, 67 %, 0x0000000000000000
2026/09/25 01:23:27.626, 1, 2070 MHz, 3996 MHz, 452.16 W, 39, 69 %, 0x0000000000000000
2026/09/25 01:23:27.626, 2, 2070 MHz, 3996 MHz, 461.04 W, 39, 45 %, 0x0000000000000000
2026/09/25 01:23:27.626, 3, 2070 MHz, 3996 MHz, 467.92 W, 38, 39 %, 0x0000000000000000
2026/09/25 01:23:27.826, 0, 2070 MHz, 3996 MHz, 465.55 W, 37, 100 %, 0x0000000000000000
2026/09/25 01:23:27.826, 1, 2070 MHz, 3996 MHz, 456.55 W, 37, 93 %, 0x0000000000000000
2026/09/25 01:23:27.826, 2, 2070 MHz, 3996 MHz, 464.11 W, 38, 92 %, 0x0000000000000000
2026/09/25 01:23:27.826, 3, 2070 MHz, 3996 MHz, 469.74 W, 38, 73 %, 0x0000000000000000
2026/09/25 01:23:28.026, 0, 2070 MHz, 3996 MHz, 463.21 W, 37, 97 %, 0x0000000000000000
2026/09/25 01:23:28.026, 1, 2070 MHz, 3996 MHz, 454.89 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:23:28.026, 2, 2070 MHz, 3996 MHz, 462.72 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:23:28.026, 3, 2070 MHz, 3996 MHz, 469.24 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:23:28.226, 0, 2070 MHz, 3996 MHz, 463.40 W, 37, 98 %, 0x0000000000000000
2026/09/25 01:23:28.226, 1, 2070 MHz, 3996 MHz, 454.35 W, 37, 98 %, 0x0000000000000000
2026/09/25 01:23:28.226, 2, 2070 MHz, 3996 MHz, 462.12 W, 38, 98 %, 0x0000000000000000
2026/09/25 01:23:28.226, 3, 2070 MHz, 3996 MHz, 468.64 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:23:28.426, 0, 2070 MHz, 3996 MHz, 463.57 W, 37, 98 %, 0x0000000000000000
2026/09/25 01:23:28.426, 1, 2070 MHz, 3996 MHz, 454.64 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:23:28.426, 2, 2070 MHz, 3996 MHz, 463.66 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:23:28.426, 3, 2070 MHz, 3996 MHz, 471.83 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:23:28.626, 0, 2070 MHz, 3996 MHz, 454.96 W, 39, 42 %, 0x0000000000000000
2026/09/25 01:23:28.626, 1, 2070 MHz, 3996 MHz, 453.49 W, 38, 91 %, 0x0000000000000000
2026/09/25 01:23:28.626, 2, 2070 MHz, 3996 MHz, 455.30 W, 39, 94 %, 0x0000000000000000
2026/09/25 01:23:28.626, 3, 2070 MHz, 3996 MHz, 454.43 W, 38, 98 %, 0x0000000000000000
2026/09/25 01:23:28.826, 0, 2070 MHz, 3996 MHz, 459.83 W, 38, 65 %, 0x0000000000000000
2026/09/25 01:23:28.826, 1, 2070 MHz, 3996 MHz, 458.21 W, 38, 92 %, 0x0000000000000000
2026/09/25 01:23:28.827, 2, 2070 MHz, 3996 MHz, 462.52 W, 38, 92 %, 0x0000000000000000
2026/09/25 01:23:28.827, 3, 2070 MHz, 3996 MHz, 458.26 W, 38, 90 %, 0x0000000000000000
2026/09/25 01:23:29.027, 0, 2070 MHz, 3996 MHz, 468.03 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:23:29.027, 1, 2070 MHz, 3996 MHz, 465.22 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:23:29.027, 2, 2070 MHz, 3996 MHz, 468.34 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:23:29.027, 3, 2070 MHz, 3996 MHz, 464.18 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:23:29.227, 0, 2070 MHz, 3996 MHz, 475.07 W, 38, 100 %, 0x0000000000000000
2026/09/25 01:23:29.227, 1, 2070 MHz, 3996 MHz, 469.33 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:23:29.227, 2, 2070 MHz, 3996 MHz, 474.07 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:23:29.227, 3, 2070 MHz, 3996 MHz, 470.56 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:23:29.427, 0, 2070 MHz, 3996 MHz, 483.81 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:23:29.427, 1, 2070 MHz, 3996 MHz, 475.35 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:23:29.427, 2, 2070 MHz, 3996 MHz, 480.19 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:23:29.427, 3, 2070 MHz, 3996 MHz, 478.07 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:23:29.627, 0, 2070 MHz, 3996 MHz, 476.93 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:23:29.627, 1, 2070 MHz, 3996 MHz, 480.93 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:23:29.627, 2, 2070 MHz, 3996 MHz, 477.46 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:23:29.627, 3, 2070 MHz, 3996 MHz, 477.92 W, 39, 99 %, 0x0000000000000000
2026/09/25 01:23:29.827, 0, 2070 MHz, 3996 MHz, 485.17 W, 38, 45 %, 0x0000000000000000
2026/09/25 01:23:29.827, 1, 2070 MHz, 3996 MHz, 477.77 W, 39, 66 %, 0x0000000000000000
2026/09/25 01:23:29.827, 2, 2070 MHz, 3996 MHz, 485.90 W, 40, 41 %, 0x0000000000000000
2026/09/25 01:23:29.827, 3, 2070 MHz, 3996 MHz, 480.83 W, 39, 54 %, 0x0000000000000000
2026/09/25 01:23:30.027, 0, 2070 MHz, 3996 MHz, 482.69 W, 38, 98 %, 0x0000000000000000
2026/09/25 01:23:30.027, 1, 2070 MHz, 3996 MHz, 475.68 W, 38, 87 %, 0x0000000000000000
2026/09/25 01:23:30.027, 2, 2070 MHz, 3996 MHz, 484.72 W, 38, 91 %, 0x0000000000000000
2026/09/25 01:23:30.027, 3, 2070 MHz, 3996 MHz, 477.62 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:23:30.227, 0, 2070 MHz, 3996 MHz, 480.58 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:23:30.227, 1, 2070 MHz, 3996 MHz, 473.96 W, 38, 98 %, 0x0000000000000000
2026/09/25 01:23:30.227, 2, 2070 MHz, 3996 MHz, 481.71 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:23:30.227, 3, 2070 MHz, 3996 MHz, 473.65 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:23:30.428, 0, 2070 MHz, 3996 MHz, 479.02 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:23:30.428, 1, 2070 MHz, 3996 MHz, 473.94 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:23:30.428, 2, 2070 MHz, 3996 MHz, 480.11 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:23:30.428, 3, 2070 MHz, 3996 MHz, 468.71 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:23:30.628, 0, 2070 MHz, 3996 MHz, 483.69 W, 38, 100 %, 0x0000000000000000
2026/09/25 01:23:30.628, 1, 2070 MHz, 3996 MHz, 473.98 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:23:30.628, 2, 2070 MHz, 3996 MHz, 482.82 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:23:30.628, 3, 2070 MHz, 3996 MHz, 473.36 W, 38, 99 %, 0x0000000000000000
