repeat,warmup,output_tps,accept_length,verify_steps,ttft_s,elapsed_s,first_event_tokens,output_tokens,max_repeated_16gram,output_text_sha256
0,True,219.00659475030798,,,1.3499956850428134,6.021087901084684,1,1024,323,2f043548efeaac26dfe141dcedb446360dc00e41b7ff417c35ca63758bdcb0c8
1,False,224.31194957209738,,,0.20975203497800976,4.770365064963698,1,1024,324,39471e6b2e298eee4872bf1f52e85cb7fb741bfcbe1e179a0731422f2605eaed
2,False,224.35728913462825,,,0.20444115693680942,4.764132548938505,1,1024,5,ad7954c6195540e9aa92882d4eeb6c55a59776520b6c7dd4f2553c37d345a5f6
3,False,224.69376465334582,,,0.20341958198696375,4.756282905000262,1,1024,125,4df3789d0a8da980465c300884137bd10313c8d43122596823427e0458167208
4,False,224.4250815119795,,,0.2057292239041999,4.7640432639745995,1,1024,1,e29f5c0c15da3fd45494959c66618909c8488a6a3a6cf6327822d1e19a815f15
5,False,224.38236359090382,,,0.2056574469897896,4.764839299023151,1,1024,324,39471e6b2e298eee4872bf1f52e85cb7fb741bfcbe1e179a0731422f2605eaed
6,False,224.33734611375874,,,0.19919856206979603,4.759295299067162,1,1024,324,39471e6b2e298eee4872bf1f52e85cb7fb741bfcbe1e179a0731422f2605eaed
