repeat,warmup,output_tps,accept_length,verify_steps,ttft_s,elapsed_s,first_event_tokens,output_tokens,max_repeated_16gram,output_text_sha256
0,True,404.85129651090847,3.710144927536232,276,0.17394608166068792,2.700799790211022,1,1024,7,3d9b541c64b8323e20562f1c982a0ebda750c2888f97ec99a2ec6de539e027a8
1,False,278.0764421565535,2.5346534653465347,404,0.1452482519671321,3.8240927886217833,1,1024,1,fcc99d81dfa3e7fae845026638eac66d34c0a0447ab38da4c0ebc5562619b710
2,False,269.16919926535127,2.4615384615384617,416,0.14413024205714464,3.944713677279651,1,1024,8,f1c614d263a990db70a4509c5cb6520eb1739c1be30a565acdb104d949298695
3,False,260.76855819823317,2.386946386946387,429,0.14462768658995628,4.067646654322743,1,1024,66,48662f949fe0e4420e8527f00e21037bf2fcb05a455f4af4f2304fe4cd1029d2
4,False,268.463661020539,2.4556354916067145,417,0.1452853912487626,3.9558569826185703,1,1024,9,92ada73165cb483897118dccfbdcaf8deeb5c39a3ef0ca51f0a75cf1663ffa36
5,False,333.50062296642074,3.056716417910448,335,0.14437470957636833,3.2118352465331554,1,1024,3,3666232a9fe0f9cc83bbe6f0f50b369fd765da080be85ca1d9372607cc80ac55
6,False,300.1571251007373,2.7379679144385025,374,0.1441327417269349,3.5523476880043745,1,1024,3,69dc4dfefd1cd042c9c81e26ec14fbe68377d518b013d31a360ded516023fdd5
