2026/09/25 01:17:35.976, 2, 2070 MHz, 3996 MHz, 250.68 W, 35, 16 %, 0x0000000000000000
2026/09/25 01:17:35.976, 3, 2070 MHz, 3996 MHz, 257.79 W, 35, 100 %, 0x0000000000000000
2026/09/25 01:17:36.176, 0, 2070 MHz, 3996 MHz, 287.56 W, 36, 96 %, 0x0000000000000000
2026/09/25 01:17:36.176, 1, 2070 MHz, 3996 MHz, 281.44 W, 36, 96 %, 0x0000000000000000
2026/09/25 01:17:36.176, 2, 2070 MHz, 3996 MHz, 283.15 W, 36, 21 %, 0x0000000000000000
2026/09/25 01:17:36.176, 3, 2070 MHz, 3996 MHz, 289.02 W, 35, 95 %, 0x0000000000000000
2026/09/25 01:17:36.376, 0, 2070 MHz, 3996 MHz, 313.63 W, 35, 91 %, 0x0000000000000000
2026/09/25 01:17:36.376, 1, 2070 MHz, 3996 MHz, 312.50 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:17:36.376, 2, 2070 MHz, 3996 MHz, 310.73 W, 35, 65 %, 0x0000000000000000
2026/09/25 01:17:36.377, 3, 2070 MHz, 3996 MHz, 319.74 W, 35, 96 %, 0x0000000000000000
2026/09/25 01:17:36.577, 0, 2070 MHz, 3996 MHz, 351.61 W, 36, 81 %, 0x0000000000000000
2026/09/25 01:17:36.577, 1, 2070 MHz, 3996 MHz, 348.36 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:17:36.577, 2, 2070 MHz, 3996 MHz, 346.60 W, 36, 73 %, 0x0000000000000000
2026/09/25 01:17:36.577, 3, 2070 MHz, 3996 MHz, 355.26 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:17:36.777, 0, 2070 MHz, 3996 MHz, 386.39 W, 36, 90 %, 0x0000000000000000
2026/09/25 01:17:36.777, 1, 2070 MHz, 3996 MHz, 386.29 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:17:36.777, 2, 2070 MHz, 3996 MHz, 384.06 W, 36, 83 %, 0x0000000000000000
2026/09/25 01:17:36.777, 3, 2070 MHz, 3996 MHz, 393.02 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:17:36.977, 0, 2070 MHz, 3996 MHz, 412.95 W, 36, 90 %, 0x0000000000000000
2026/09/25 01:17:36.977, 1, 2070 MHz, 3996 MHz, 412.87 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:17:36.977, 2, 2070 MHz, 3996 MHz, 406.89 W, 36, 81 %, 0x0000000000000000
2026/09/25 01:17:36.977, 3, 2070 MHz, 3996 MHz, 415.39 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:17:37.177, 0, 2070 MHz, 3996 MHz, 424.87 W, 36, 93 %, 0x0000000000000000
2026/09/25 01:17:37.177, 1, 2070 MHz, 3996 MHz, 421.13 W, 37, 100 %, 0x0000000000000000
2026/09/25 01:17:37.177, 2, 2070 MHz, 3996 MHz, 412.23 W, 36, 79 %, 0x0000000000000000
2026/09/25 01:17:37.177, 3, 2070 MHz, 3996 MHz, 422.22 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:17:37.377, 0, 2070 MHz, 3996 MHz, 434.56 W, 37, 91 %, 0x0000000000000000
