repeat,warmup,output_tps,accept_length,verify_steps,ttft_s,elapsed_s,first_event_tokens,output_tokens,max_repeated_16gram,output_text_sha256
0,True,1158.6549653541363,5.389473684210526,190,2.121487495023757,3.004407803993672,1,1024,32,e888b276acb517349163384be2c52d1f22d458d3efcc6ac6d3212e404d20d5ca
1,False,1279.0904890728195,5.818181818181818,176,0.20756633300334215,1.0073533760150895,1,1024,247,081af291c18c51ae49c3ae8e6bf73ae25c4fb7dd9f204a288df72ddbd161e227
2,False,1242.5298239059666,5.752808988764045,178,0.2044361949665472,1.0277564729331061,1,1024,45,9d30beb85cd0e8a8aad6985d21e16da1fda408c59c4bb39f1c800f33a25cf291
3,False,1337.5931188302613,5.953488372093023,172,0.20668526797089726,0.9714918340323493,1,1024,497,8612086e3310de652e2e7b7ec5bdd7fc66ea5ac5ce6063a705a51ad1dc62fa36
4,False,1239.257064633439,5.752808988764045,178,0.20582852303050458,1.0313231110339984,1,1024,50,51e5feac6ee60c587660dc7de94bde187fe90cd62efd00cb9fdef28d0275594d
5,False,1338.3160501377454,5.953488372093023,172,0.20408937195315957,0.9684828049503267,1,1024,497,8612086e3310de652e2e7b7ec5bdd7fc66ea5ac5ce6063a705a51ad1dc62fa36
6,False,1258.090615605859,5.818181818181818,176,0.2055229190737009,1.0186598961008713,1,1024,125,4df3789d0a8da980465c300884137bd10313c8d43122596823427e0458167208
