repeat,warmup,output_tps,accept_length,verify_steps,ttft_s,elapsed_s,first_event_tokens,output_tokens,max_repeated_16gram,output_text_sha256
0,True,1255.01027598711,5.818181818181818,176,2.710706406040117,3.525839173933491,1,1024,247,081af291c18c51ae49c3ae8e6bf73ae25c4fb7dd9f204a288df72ddbd161e227
1,False,1292.5437603036644,5.953488372093023,172,0.4248820769134909,1.2163446419872344,1,1024,497,8612086e3310de652e2e7b7ec5bdd7fc66ea5ac5ce6063a705a51ad1dc62fa36
2,False,1233.0642200558746,5.818181818181818,176,0.38291025802027434,1.2125507449964061,1,1024,247,081af291c18c51ae49c3ae8e6bf73ae25c4fb7dd9f204a288df72ddbd161e227
3,False,1214.8314388572144,5.851428571428571,175,0.4245011809980497,1.2665933159878477,1,1024,125,4df3789d0a8da980465c300884137bd10313c8d43122596823427e0458167208
4,False,1239.3080830697388,5.785310734463277,177,0.42724934697616845,1.2527099519502372,1,1024,124,9eb0288ff64cac2939f327c488700b111f39148b1345c3a89f671a3c17b28371
5,False,1258.6824279225493,5.785310734463277,177,0.41032555990386754,1.2230802129488438,1,1024,247,081af291c18c51ae49c3ae8e6bf73ae25c4fb7dd9f204a288df72ddbd161e227
6,False,1250.6759611373923,5.818181818181818,176,0.39336731005460024,1.2113249839749187,1,1024,490,f71e12af25778e8324850911a5e2872b4beabd8c7f5358e1ec8a2fe26e44d57a
