repeat,warmup,output_tps,accept_length,verify_steps,ttft_s,elapsed_s,first_event_tokens,output_tokens,max_repeated_16gram,output_text_sha256
0,True,874.7450082978586,5.475935828877005,187,1.8939763699891046,3.0634600369958207,1,1024,1,403843234653a3deb0131320929d08d658820df8a9df460fbc0e6753e9ee3902
1,False,873.0660389242682,5.505376344086022,186,0.2158454799791798,1.3875781489768997,1,1024,1,025d7d63fa86fffb18235c891dd4f6815619ba6e8d7bb47a16c2d53765699a26
2,False,871.2687027167804,5.535135135135135,185,0.20921196800190955,1.3833617989439517,1,1024,1,06073be893f53d906494fbf5394cf9c83b0b05f53ea8e8981e3424c71d851356
3,False,879.4066036661292,5.475935828877005,187,0.20847397902980447,1.371758398017846,1,1024,3,62a1a46264558e85700c710caf4351e0482b7fe89cd35732c7e2ed69bd938dec
4,False,880.9760441691685,5.535135135135135,185,0.2077806299785152,1.3689926819643006,1,1024,304,1aa6330673700e219ddb6bcc568676523a9dd9e8a6d2b98afa7ca72ae5db443d
5,False,865.8632916848576,5.475935828877005,187,0.4372371609788388,1.6187169740442187,1,1024,3,2a607ee5b83e0dbde540425dcb40707d9b734e44336dbf85afe7e783d51de56c
6,False,885.3043185302062,5.505376344086022,186,0.21045549307018518,1.36599035107065,1,1024,135,bd74222e2c382e0c4028782d152bf75ce0d6b575b1e52cf9999f5eb94e547281
