2026/09/25 01:25:58.416, 2, 2070 MHz, 3996 MHz, 374.16 W, 36, 99 %, 0x0000000000000000
2026/09/25 01:25:58.416, 3, 2070 MHz, 3996 MHz, 387.57 W, 36, 97 %, 0x0000000000000000
2026/09/25 01:25:58.616, 0, 2070 MHz, 3996 MHz, 403.86 W, 36, 93 %, 0x0000000000000000
2026/09/25 01:25:58.616, 1, 2070 MHz, 3996 MHz, 405.31 W, 36, 94 %, 0x0000000000000000
2026/09/25 01:25:58.616, 2, 2070 MHz, 3996 MHz, 418.05 W, 36, 99 %, 0x0000000000000000
2026/09/25 01:25:58.616, 3, 2070 MHz, 3996 MHz, 428.29 W, 36, 96 %, 0x0000000000000000
2026/09/25 01:25:58.816, 0, 2070 MHz, 3996 MHz, 444.57 W, 36, 93 %, 0x0000000000000000
2026/09/25 01:25:58.816, 1, 2070 MHz, 3996 MHz, 450.58 W, 36, 93 %, 0x0000000000000000
2026/09/25 01:25:58.816, 2, 2070 MHz, 3996 MHz, 455.81 W, 36, 99 %, 0x0000000000000000
2026/09/25 01:25:58.816, 3, 2070 MHz, 3996 MHz, 455.42 W, 36, 98 %, 0x0000000000000000
2026/09/25 01:25:59.016, 0, 2070 MHz, 3996 MHz, 446.23 W, 36, 94 %, 0x0000000000000000
2026/09/25 01:25:59.016, 1, 2070 MHz, 3996 MHz, 450.62 W, 37, 95 %, 0x0000000000000000
2026/09/25 01:25:59.016, 2, 2070 MHz, 3996 MHz, 441.67 W, 38, 68 %, 0x0000000000000000
2026/09/25 01:25:59.016, 3, 2070 MHz, 3996 MHz, 445.94 W, 38, 88 %, 0x0000000000000000
2026/09/25 01:25:59.216, 0, 2070 MHz, 3996 MHz, 456.69 W, 37, 83 %, 0x0000000000000000
2026/09/25 01:25:59.216, 1, 2070 MHz, 3996 MHz, 461.08 W, 37, 39 %, 0x0000000000000000
2026/09/25 01:25:59.216, 2, 2070 MHz, 3996 MHz, 457.21 W, 37, 92 %, 0x0000000000000000
2026/09/25 01:25:59.216, 3, 2070 MHz, 3996 MHz, 456.27 W, 37, 98 %, 0x0000000000000000
2026/09/25 01:25:59.417, 0, 2070 MHz, 3996 MHz, 457.17 W, 37, 98 %, 0x0000000000000000
2026/09/25 01:25:59.417, 1, 2070 MHz, 3996 MHz, 460.69 W, 37, 98 %, 0x0000000000000000
2026/09/25 01:25:59.417, 2, 2070 MHz, 3996 MHz, 458.22 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:25:59.417, 3, 2070 MHz, 3996 MHz, 458.54 W, 37, 98 %, 0x0000000000000000
2026/09/25 01:25:59.617, 0, 2070 MHz, 3996 MHz, 460.99 W, 37, 96 %, 0x0000000000000000
2026/09/25 01:25:59.617, 1, 2070 MHz, 3996 MHz, 462.95 W, 37, 97 %, 0x0000000000000000
