repeat,warmup,output_tps,accept_length,verify_steps,ttft_s,elapsed_s,first_event_tokens,output_tokens,max_repeated_16gram,output_text_sha256
0,True,1157.0592902771637,5.475935828877005,187,2.1099601850146428,2.9940981100080535,1,1024,1,3a329533c2289994a201a668ec43cc58b6468b4c38e17c658275a62387fd717f
1,False,1186.3929413989113,5.505376344086022,186,0.21151339705102146,1.0737909480230883,1,1024,0,c06429c0f7069aa9ef6786cf0726e68a5a308f97427bbfba87fc4ecac0bf888e
2,False,1182.062539960165,5.535135135135135,185,0.20891053800005466,1.074346981011331,1,1024,5,c0a9b42f33f77cb3cf02431019edb2b3ec20a0d40d3bc57a46749054d9bb3a30
3,False,1185.8267866685637,5.505376344086022,186,0.21401929389685392,1.0767085260013118,1,1024,0,b5425b93538f697db179ff54fac42e85e77efc663daf01cb022314e48776085e
4,False,1177.3235645775433,5.535135135135135,185,0.20999854197725654,1.0789185489993542,1,1024,4,52f789afe26a46b3890c2731700164c5c9f25ec6b9ed20a2c217aa52d2111687
5,False,1164.6781863467581,5.446808510638298,188,0.21246626297943294,1.0908204830484465,1,1024,347,2295b652f3855729fd3bc47ab34653579304f22988d03e2d21114ca49f443831
6,False,1183.941104863359,5.505376344086022,186,0.2200108050601557,1.0840740560088307,1,1024,3,e36bd1f3f68289193e6a2707bf135fedd9f906f5a553ffb32e1ad98b3f7376e5
