repeat,warmup,output_tps,accept_length,verify_steps,ttft_s,elapsed_s,first_event_tokens,output_tokens,max_repeated_16gram,output_text_sha256
0,True,150.08785566645608,,,0.16739014629274607,6.983397980220616,1,1024,19,be30942d6ad270e84269d72a6612bce5b2ffdebb659cdd372793e831f09374ca
1,False,150.06007318886915,,,0.14013085421174765,6.957400619983673,1,1024,3,b1353f577217ac638522a3934491ad16706a918ac3021cc8117b9ce6a879f9ef
2,False,150.0636172587665,,,0.1431308053433895,6.960239566862583,1,1024,19,be30942d6ad270e84269d72a6612bce5b2ffdebb659cdd372793e831f09374ca
3,False,150.09527577804008,,,0.1424568323418498,6.958127710036933,1,1024,332,0a3a42bd37095b4c43814c39bba8e62850ceb52e57cccbe8c3e49293799fc67b
4,False,150.08129970259998,,,0.1426242496818304,6.95892982557416,1,1024,19,be30942d6ad270e84269d72a6612bce5b2ffdebb659cdd372793e831f09374ca
5,False,150.08658248117828,,,0.14225937239825726,6.9583250265568495,1,1024,15,c0fa92474cf867ee23e9232454977ab8f03b90a1ca9a840a865619502de35257
6,False,149.90678969539465,,,0.1423143520951271,6.966554949060082,1,1024,21,7c4f38829a76db39b89ed02285a9621f248b0c75c20129e40a06bf311242125f
