repeat,warmup,output_tps,accept_length,verify_steps,ttft_s,elapsed_s,first_event_tokens,output_tokens,max_repeated_16gram,output_text_sha256
0,True,882.2663467802979,5.475935828877005,187,0.7033596009714529,1.862873396021314,1,1024,6,3c3943e8b070df4ae030b7810db4a24d98bf2a92dfee11ae52c8bd70df33348d
1,False,891.1364404967198,5.505376344086022,186,0.20625357702374458,1.3542259340174496,1,1024,1,33831417fce9cb30670eb6322e8f7b95b7d745d968cd066f51a8ced228dcafb7
2,False,878.194571692589,5.535135135135135,185,0.20550374896265566,1.3703936639940366,1,1024,1,5ab7fed2528be000c45efc8c7ed37d2fef9b03d99d14017d05f5e8569feed69d
3,False,865.5448566357485,5.475935828877005,187,0.20267854898702353,1.3845930299721658,1,1024,1,ac3b2f8f281c24098933e81c4cc55aacdbded639a8c4f6d9e5ca71cdb7ccb9f8
4,False,891.9126493011757,5.535135135135135,185,0.20949663303326815,1.3564699389971793,1,1024,3,32c6674babba9a1d225e825573fcc90eb70e0ef87fd2788eef47ffa1459128e3
5,False,862.5668902674219,5.475935828877005,187,0.20732190099079162,1.3933168789371848,1,1024,3,e579a5c2b6e38ec73afce03d72519cf778a2608a269cba5ef25e7cdcb85afc26
6,False,883.2208584085606,5.505376344086022,186,0.20304459892213345,1.3613052879227325,1,1024,1,d4d28f5b27ad7ddcfccf20a30465388262322bf40bbbb1a1284a03428424d4de
