"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
4,6592,"s_nop 0",0,0,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:440"
4,6596,"s_nop 0",0,0,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:440"
4,6600,"s_nop 0",0,0,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:440"
4,6604,"s_nop 0",0,0,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:440"
4,6608,"s_nop 0",0,0,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:440"
4,6612,"s_nop 0",0,0,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:440"
4,6616,"s_nop 0",0,0,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:440"
4,6620,"s_nop 0",0,0,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:440"
4,6624,"s_nop 0",0,0,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:440"
4,6628,"s_nop 0",0,0,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:440"
4,6632,"s_nop 0",0,0,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:440"
4,6636,"s_nop 0",0,0,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:440"
4,6640,"s_nop 0",0,0,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:440"
4,6644,"s_nop 0",0,0,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:440"
4,6648,"s_nop 0",0,0,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:440"
4,6652,"s_nop 0",0,0,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:440"
4,6656,"s_mov_b64 s[28:29], s[10:11]",8,32,0,2832,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:440"
4,6660,"s_mov_b64 s[10:11], s[6:7]",8,32,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:440"
4,6664,"s_mov_b64 s[36:37], s[2:3]",8,32,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:440"
4,6668,"s_load_dwordx2 s[2:3], s[0:1], 0x40",8,32,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:440"
4,6676,"s_mul_hi_i32 s6, s17, 0x2aaaaaab",8,32,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:472"
4,6684,"s_lshr_b32 s7, s6, 31",8,32,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:472"
4,6688,"s_ashr_i32 s6, s6, 1",8,32,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:472"
4,6692,"s_add_i32 s6, s6, s7",8,32,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:472"
4,6696,"s_ashr_i32 s7, s6, 31",8,32,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:481"
