repeat,warmup,output_tps,accept_length,verify_steps,ttft_s,elapsed_s,first_event_tokens,output_tokens,max_repeated_16gram,output_text_sha256
0,True,381.7382765540059,3.4478114478114477,297,0.17169498931616545,2.85154153034091,1,1024,1,b724cef310d06f3614bd8212ffd6484aceb3ec18fc4ed65e4742a1f56902557e
1,False,406.11119071767786,3.710144927536232,276,0.1435573399066925,2.662571894004941,1,1024,7,3d9b541c64b8323e20562f1c982a0ebda750c2888f97ec99a2ec6de539e027a8
2,False,425.60543648455143,3.893536121673004,263,0.1442697923630476,2.5479045026004314,1,1024,53,265d913397ab0d46f46556ca23f56affaf56ecf5e56ea3de6050ac395d32411c
3,False,451.29637466844713,4.145748987854251,247,0.1441043633967638,2.4109074166044593,1,1024,6,85dd44fc47d5ed69161960839a72013894074435cfed9598f29fcdf9e5a2ff86
4,False,280.6164041832338,2.56,400,0.14429105259478092,3.7898370176553726,1,1024,1,3d876effaf57cdcf5b49e2b2880cd263b897f8139d53c383ba9d268d9792b4d2
5,False,578.8103299532647,5.251282051282051,195,0.14316155202686787,1.9105799049139023,1,1024,62,40340c98399edc7d51f3b8226b35a71de0e9462e5f8fd937266b9b9571bb3a33
6,False,379.6001621649595,3.4594594594594597,296,0.14414144307374954,2.839082336053252,1,1024,4,76c68cb943134ac992acf468f92742b6ccfd3abb37b28bd15ede7ed1f5e4dd25
