pid,first_utc,last_utc,amd_smi_gpus
388358,2026-09-25T19:36:00Z,2026-09-25T19:36:05Z,0 1 2 3 4 5 6 7
390828,2026-09-25T19:36:10Z,2026-09-25T19:36:10Z,0 1 2 3 4 5 6 7
391264,2026-09-25T19:36:16Z,2026-09-25T19:38:40Z,0 1 2 3 4 5 6 7
413286,2026-09-25T19:38:50Z,2026-09-25T19:43:25Z,0 1 2 3 4 5 6 7
414553,2026-09-25T19:39:00Z,2026-09-25T19:43:25Z,0 1 2 3 4 5 6 7
414554,2026-09-25T19:39:00Z,2026-09-25T19:43:25Z,0 1 2 3 4 5 6 7
414555,2026-09-25T19:39:00Z,2026-09-25T19:43:25Z,0 1 2 3 4 5 6 7
414561,2026-09-25T19:39:00Z,2026-09-25T19:43:25Z,0 1 2 3 4 5 6 7
414562,2026-09-25T19:39:00Z,2026-09-25T19:43:25Z,0 1 2 3 4 5 6 7
440737,2026-09-25T19:41:15Z,2026-09-25T19:41:15Z,0
