repeat,warmup,output_tps,accept_length,verify_steps,ttft_s,elapsed_s,first_event_tokens,output_tokens,max_repeated_16gram,output_text_sha256
0,True,857.6024285638621,5.475935828877005,187,2.109508714056574,3.3023691420676187,1,1024,1,9fd7e9b885f8b2c9a8fa7e511b776e384a4311ef48b0aeb58ff667dacc4c3717
1,False,822.2213771296282,5.505376344086022,186,0.20373218203894794,1.4479226500261575,1,1024,1,a6d8d591a858a538a0863093e492fa4b260abcb44327722d527283f45bc3e3aa
2,False,855.6158405625343,5.535135135135135,185,0.20456703298259526,1.4001970710232854,1,1024,5,f2f9ab4118752a7e1d14a61ea685d5f8e7730cc967aed86330eda20e8c03602a
3,False,858.2308436616755,5.505376344086022,186,0.20599631709046662,1.397983307018876,1,1024,1,2183fc5cb6f4e09f04c90269a7c794d500895057e4534b7f3d36fbbb3abcfc03
4,False,867.9387969370246,5.535135135135135,185,0.20680428692139685,1.3854588229442015,1,1024,2,4d4a0e3835fd04f52c2d3a7d98b9facb0311fc7d7568b1ca5ea28c05971e2230
5,False,857.7243518871069,5.446808510638298,188,0.2006194379646331,1.3933103039162233,1,1024,408,33bbac9dfab264030d1bc5b090b691ff1ef00607201d8aab6aaa1693eb3f9a4d
6,False,864.7266416341439,5.505376344086022,186,0.19999700400512666,1.3830298270331696,1,1024,3,439c72d4ffee6d590d78c54af2c8717f8f88130d197ef1a2a4b28c856eb1fd18
