repeat,warmup,output_tps,accept_length,verify_steps,ttft_s,elapsed_s,first_event_tokens,output_tokens,max_repeated_16gram,output_text_sha256
0,True,843.4065375909917,5.475935828877005,187,0.706114492029883,1.919052683049813,1,1024,4,dfc90890ba915e425b3f5f17feb31e2398ca8a3772d3b4e6194e51e6dc154c37
1,False,850.5921713817918,5.505376344086022,186,0.20292091695591807,1.4056124469498172,1,1024,5,d2e4a1cb9b673468cf9a33fa0a049b10e484f3cc65d125c356670a0682eb628e
2,False,852.7536658192516,5.535135135135135,185,0.20336955902166665,1.4030125989811495,1,1024,3,0d49018312299f6c42c897d763bd3bd3c74fc4f037a59c5a637bfce27c4376a0
3,False,844.0082779399978,5.475935828877005,187,0.20750253403093666,1.4195759540889412,1,1024,7,e71ee75f40e8ab90b8cfefe92c7419ae1753a21f107e87a63c19681dd06d889d
4,False,843.6222279434633,5.535135135135135,185,0.20277736498974264,1.415405442006886,1,1024,45,22848233e956ca8f18dd189d9c273b1af4339abb079f9512de9afeff2cb4bc0b
5,False,839.1708094765966,5.475935828877005,187,0.20397023297846317,1.423030748963356,1,1024,3,564d81a542f65a2decf62d90cf37b4d9975e8aa583a1f1e5749db0665e25f892
6,False,842.2907038759286,5.505376344086022,186,0.20482713205274194,1.4193721760530025,1,1024,1,b415725d3f2d6176b063d80a6e64d17ce6536d6d3dd4eedbdedf3ed4123c869f
