2026/09/25 01:14:33.811, 2, 2070 MHz, 3996 MHz, 383.19 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:14:33.811, 3, 2070 MHz, 3996 MHz, 376.83 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:14:34.011, 0, 2070 MHz, 3996 MHz, 428.87 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:14:34.011, 1, 2070 MHz, 3996 MHz, 415.43 W, 36, 99 %, 0x0000000000000000
2026/09/25 01:14:34.011, 2, 2070 MHz, 3996 MHz, 429.77 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:14:34.011, 3, 2070 MHz, 3996 MHz, 427.23 W, 36, 99 %, 0x0000000000000000
2026/09/25 01:14:34.211, 0, 2070 MHz, 3996 MHz, 472.71 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:14:34.211, 1, 2070 MHz, 3996 MHz, 462.03 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:14:34.211, 2, 2070 MHz, 3996 MHz, 469.80 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:14:34.211, 3, 2070 MHz, 3996 MHz, 473.93 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:14:34.411, 0, 2070 MHz, 3996 MHz, 472.70 W, 38, 52 %, 0x0000000000000000
2026/09/25 01:14:34.411, 1, 2070 MHz, 3996 MHz, 467.10 W, 38, 69 %, 0x0000000000000000
2026/09/25 01:14:34.411, 2, 2070 MHz, 3996 MHz, 472.41 W, 39, 71 %, 0x0000000000000000
2026/09/25 01:14:34.411, 3, 2070 MHz, 3996 MHz, 468.07 W, 38, 100 %, 0x0000000000000000
2026/09/25 01:14:34.611, 0, 2070 MHz, 3996 MHz, 481.06 W, 37, 63 %, 0x0000000000000000
2026/09/25 01:14:34.611, 1, 2070 MHz, 3996 MHz, 474.04 W, 37, 94 %, 0x0000000000000000
2026/09/25 01:14:34.611, 2, 2070 MHz, 3996 MHz, 479.62 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:14:34.611, 3, 2070 MHz, 3996 MHz, 474.10 W, 37, 83 %, 0x0000000000000000
2026/09/25 01:14:34.811, 0, 2070 MHz, 3996 MHz, 480.20 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:14:34.811, 1, 2070 MHz, 3996 MHz, 473.89 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:14:34.811, 2, 2070 MHz, 3996 MHz, 478.75 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:14:34.811, 3, 2070 MHz, 3996 MHz, 476.26 W, 37, 100 %, 0x0000000000000000
2026/09/25 01:14:35.012, 0, 2070 MHz, 3996 MHz, 479.77 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:14:35.012, 1, 2070 MHz, 3996 MHz, 473.96 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:14:35.012, 2, 2070 MHz, 3996 MHz, 477.65 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:14:35.012, 3, 2070 MHz, 3996 MHz, 476.75 W, 37, 100 %, 0x0000000000000000
2026/09/25 01:14:35.212, 0, 2070 MHz, 3996 MHz, 478.58 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:14:35.212, 1, 2070 MHz, 3996 MHz, 474.54 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:14:35.212, 2, 2070 MHz, 3996 MHz, 477.07 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:14:35.212, 3, 2070 MHz, 3996 MHz, 476.82 W, 37, 100 %, 0x0000000000000000
2026/09/25 01:14:35.412, 0, 2070 MHz, 3996 MHz, 474.61 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:14:35.412, 1, 2070 MHz, 3996 MHz, 475.86 W, 37, 96 %, 0x0000000000000000
2026/09/25 01:14:35.412, 2, 2070 MHz, 3996 MHz, 468.04 W, 37, 68 %, 0x0000000000000000
2026/09/25 01:14:35.412, 3, 2070 MHz, 3996 MHz, 471.94 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:14:35.612, 0, 2070 MHz, 3996 MHz, 482.23 W, 39, 38 %, 0x0000000000000000
2026/09/25 01:14:35.612, 1, 2070 MHz, 3996 MHz, 467.01 W, 39, 92 %, 0x0000000000000000
2026/09/25 01:14:35.612, 2, 2070 MHz, 3996 MHz, 471.30 W, 38, 94 %, 0x0000000000000000
2026/09/25 01:14:35.612, 3, 2070 MHz, 3996 MHz, 478.92 W, 39, 69 %, 0x0000000000000000
2026/09/25 01:14:35.812, 0, 2070 MHz, 3996 MHz, 484.50 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:14:35.812, 1, 2070 MHz, 3996 MHz, 466.75 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:14:35.812, 2, 2070 MHz, 3996 MHz, 471.91 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:14:35.812, 3, 2070 MHz, 3996 MHz, 478.30 W, 37, 93 %, 0x0000000000000000
2026/09/25 01:14:36.012, 0, 2070 MHz, 3996 MHz, 487.65 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:14:36.012, 1, 2070 MHz, 3996 MHz, 466.41 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:14:36.012, 2, 2070 MHz, 3996 MHz, 474.25 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:14:36.012, 3, 2070 MHz, 3996 MHz, 476.86 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:14:36.212, 0, 2070 MHz, 3996 MHz, 491.01 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:14:36.212, 1, 2070 MHz, 3996 MHz, 466.05 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:14:36.212, 2, 2070 MHz, 3996 MHz, 475.63 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:14:36.212, 3, 2070 MHz, 3996 MHz, 477.41 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:14:36.412, 0, 2070 MHz, 3996 MHz, 498.85 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:14:36.412, 1, 2070 MHz, 3996 MHz, 466.26 W, 37, 99 %, 0x0000000000000000
