repeat,warmup,output_tps,accept_length,verify_steps,ttft_s,elapsed_s,first_event_tokens,output_tokens,max_repeated_16gram,output_text_sha256
0,True,150.5105810673355,,,0.16853210143744946,6.965396433137357,1,1024,15,c0fa92474cf867ee23e9232454977ab8f03b90a1ca9a840a865619502de35257
1,False,150.45722593092313,,,0.14249300304800272,6.941767638549209,1,1024,4,068a467bb9d2e3ff0f105c8adf18afb9b9c7041d18967fd14dc5083c22511a90
2,False,150.4677585588439,,,0.14276509918272495,6.941563790664077,1,1024,15,c0fa92474cf867ee23e9232454977ab8f03b90a1ca9a840a865619502de35257
3,False,150.44820214913932,,,0.14283295907080173,6.9425154104828835,1,1024,7,f08ea318b11553548707c7e75df1cc5077f08c9a15cfe04cef0193f838ab11ee
4,False,150.4369127409868,,,0.14262797124683857,6.942820698954165,1,1024,19,be30942d6ad270e84269d72a6612bce5b2ffdebb659cdd372793e831f09374ca
5,False,150.2854086151734,,,0.14282665867358446,6.949874724261463,1,1024,16,4bc5d28d23f9bbf7ef77b7d16c327ea7c9fd0afbc5ca418cb7d621f940252aea
6,False,150.45313472061952,,,0.14322751481086016,6.942687040194869,1,1024,1,61bc74bcab8aab7652bac55e46e12d3d6c74edb9e2b9094bdde35808d2884ff7
