repeat,warmup,output_tps,accept_length,verify_steps,ttft_s,elapsed_s,first_event_tokens,output_tokens,max_repeated_16gram,output_text_sha256
0,True,597.0855371474296,5.475935828877005,187,0.169929058291018,1.88325141556561,1,1024,3,36d83e4615b4b7682ab1e19231f5946690d89e4676f27ba19eedf86937129f90
1,False,602.9886085014459,5.505376344086022,186,0.1451473906636238,1.841696853749454,1,1024,0,3a1d2fce82e1221c7ccae0f6452874e3338bb6c9f2bdc74380220d0751ea67a5
2,False,607.2003595846521,5.535135135135135,185,0.14520444069057703,1.8299860516563058,1,1024,239,7a33bc6a66250ecd1aa0f7a4a710ec4b0cb25faf8c1372e87ead58ccc82ffcad
3,False,602.5326142493576,5.505376344086022,186,0.14492082223296165,1.8427542271092534,1,1024,264,bdd41e5b4d46570193410109b9a0d7ed20bd172a0ee485af881798936eb2ea33
4,False,609.6867093315639,5.535135135135135,185,0.14441442769020796,1.822325368411839,1,1024,310,9fe44361d4f089d9f54d8a068b3ba45a8f2d5510f2ee4666e8d97b11e6dcda21
5,False,587.6949414444708,5.446808510638298,188,0.14338053669780493,1.8840795420110226,1,1024,11,cb8bb6fac87c0573ae2274fa0d6ead2c47047db987e6f65ca6adeea91419f8cd
6,False,609.6280671961449,5.505376344086022,186,0.1432330571115017,1.821305401623249,1,1024,1,032d85387a837cd1ca24f85846391270851431e8ee1ef5e8c00faad8e4b38754
