repeat,warmup,output_tps,accept_length,verify_steps,ttft_s,elapsed_s,first_event_tokens,output_tokens,max_repeated_16gram,output_text_sha256
0,True,505.8684549275923,4.654545454545454,220,0.17010742519050837,2.1923722848296165,1,1024,8,9bafb5f51c65dc4b8499b0e3dc511bee54fd290beb6551116dd74e698761aaea
1,False,284.7959317642672,2.6055979643765905,393,0.14524322375655174,3.7372889164835215,1,1024,2,4c8f75935d675faa9c0cc7bdd1caa4be12ff21254c69557f8bb66bccc6dda9cc
2,False,407.24652109423585,3.683453237410072,278,0.14492390677332878,2.6569158993661404,1,1024,6,e3c46e04f966816fca421797ca05bc7c43ad3713e036b67e06e312ecc7220cb1
3,False,539.4931283703556,4.946859903381642,207,0.14381239842623472,2.0400367360562086,1,1024,11,289d5c0d5a2c1fa1ebcfedff93d0112502fabde5d70c5bf8bca82b928283325e
4,False,333.83596756664093,3.056716417910448,335,0.1444918615743518,3.2088710758835077,1,1024,7,edc2fb13e9fd9e924ec82779849f459c8c82877910738a8d4f618eb78c2572bd
5,False,320.40095871499545,2.9008498583569406,353,0.14491580706089735,3.337790148332715,1,1024,1,416d457029ce8cf529680a88c73a12ab65b545ba543a856e8a10f1455a63b8e3
6,False,576.9545332333142,5.278350515463917,194,0.14534440357238054,1.918447726406157,1,1024,98,bb1f4f65877c2bbcff03c9ece8eb90e4403d75df64d27b3a9802c5bdd7aba6ab
