repeat,warmup,output_tps,accept_length,verify_steps,ttft_s,elapsed_s,first_event_tokens,output_tokens,max_repeated_16gram,output_text_sha256
0,True,224.27433221818484,,,1.349188155028969,5.91056613298133,1,1024,325,b31dd06febce19d1480c5509f1a6d50041736de1906882dcd79b785be425be64
1,False,224.25969833126393,,,0.20860228000674397,4.770277907024138,1,1024,324,c2a9730a2564f6e3d94f4a5a8b3b83b5e9006c3a8d99f837b227e56b0401c6e4
2,False,221.03280195903753,,,0.2054206640459597,4.833692988031544,1,1024,162,1c73e685f4789ab0cde3c24d54246e91f944236ef627c5aa5605023b21108f1d
3,False,224.5661776417569,,,0.201897733961232,4.757347760954872,1,1024,1,6862ca7a2f7a000aa286a9760c7913fee94f911dc2504c25abeda1a948e598b0
4,False,224.20713099488415,,,0.20385412697214633,4.766599279013462,1,1024,324,39471e6b2e298eee4872bf1f52e85cb7fb741bfcbe1e179a0731422f2605eaed
5,False,224.3164369180373,,,0.20552495098672807,4.766046748030931,1,1024,1,bdd30e85bbd7d15383aa9feec056a3df9974052e5093346ac9c3e8787b1e2304
6,False,224.25520302816926,,,0.20316263393033296,4.764929701923393,1,1024,319,2ef8eb9f10f5a0ce3357cfb60bdbcfc22c9d5c0f8d5fb4ac85c6dc3985553cdc
