pid,first_utc,last_utc,amd_smi_gpus
2653404,2026-09-25T07:34:39Z,2026-09-25T07:36:33Z,0 1 2 3 4 5 6 7
2653405,2026-09-25T07:34:39Z,2026-09-25T07:36:33Z,0 1 2 3 4 5 6 7
2653406,2026-09-25T07:34:39Z,2026-09-25T07:36:33Z,0 1 2 3 4 5 6 7
2654815,2026-09-25T07:34:39Z,2026-09-25T07:34:39Z,0 1 2 3 4 5 6 7
2680289,2026-09-25T07:36:49Z,2026-09-25T07:39:36Z,0 1 2 3 4 5 6 7
2683630,2026-09-25T07:36:55Z,2026-09-25T07:39:30Z,0 1 2 3 4 5 6 7
2683631,2026-09-25T07:36:55Z,2026-09-25T07:39:30Z,0 1 2 3 4 5 6 7
2683632,2026-09-25T07:36:55Z,2026-09-25T07:39:30Z,0 1 2 3 4 5 6 7
2683633,2026-09-25T07:36:55Z,2026-09-25T07:39:30Z,0 1 2 3 4 5 6 7
2683634,2026-09-25T07:36:55Z,2026-09-25T07:39:30Z,0 1 2 3 4 5 6 7
2707043,2026-09-25T07:39:46Z,2026-09-25T07:42:33Z,0 1 2 3 4 5 6 7
2708002,2026-09-25T07:39:52Z,2026-09-25T07:42:27Z,0 1 2 3 4 5 6 7
2708003,2026-09-25T07:39:52Z,2026-09-25T07:42:27Z,0 1 2 3 4 5 6 7
2708004,2026-09-25T07:39:52Z,2026-09-25T07:42:27Z,0 1 2 3 4 5 6 7
2708005,2026-09-25T07:39:52Z,2026-09-25T07:42:27Z,0 1 2 3 4 5 6 7
2708006,2026-09-25T07:39:52Z,2026-09-25T07:42:27Z,0 1 2 3 4 5 6 7
2731369,2026-09-25T07:42:43Z,2026-09-25T07:44:48Z,0 1 2 3 4 5 6 7
2731857,2026-09-25T07:42:43Z,2026-09-25T07:42:43Z,0 1 2 3 4 5 6 7
2732185,2026-09-25T07:42:48Z,2026-09-25T07:44:43Z,0 1 2 3 4 5 6 7
2732186,2026-09-25T07:42:48Z,2026-09-25T07:44:43Z,0 1 2 3 4 5 6 7
2732187,2026-09-25T07:42:48Z,2026-09-25T07:44:43Z,0 1 2 3 4 5 6 7
2732188,2026-09-25T07:42:48Z,2026-09-25T07:44:43Z,0 1 2 3 4 5 6 7
2732189,2026-09-25T07:42:48Z,2026-09-25T07:44:43Z,0 1 2 3 4 5 6 7
2749367,2026-09-25T07:44:53Z,2026-09-25T07:46:59Z,0 1 2 3 4 5 6 7
2749602,2026-09-25T07:44:53Z,2026-09-25T07:44:53Z,0 1 2 3 4 5 6 7
2751663,2026-09-25T07:45:04Z,2026-09-25T07:46:53Z,0 1 2 3 4 5 6 7
2751664,2026-09-25T07:45:04Z,2026-09-25T07:46:53Z,0 1 2 3 4 5 6 7
2751665,2026-09-25T07:45:04Z,2026-09-25T07:46:53Z,0 1 2 3 4 5 6 7
2751666,2026-09-25T07:45:04Z,2026-09-25T07:46:53Z,0 1 2 3 4 5 6 7
2751667,2026-09-25T07:45:04Z,2026-09-25T07:46:53Z,0 1 2 3 4 5 6 7
2761120,2026-09-25T07:46:01Z,2026-09-25T07:46:01Z,0 1 2 3 4 5 6 7
2761122,2026-09-25T07:46:01Z,2026-09-25T07:46:01Z,0 1 2 3 4 5 6 7
2761124,2026-09-25T07:46:01Z,2026-09-25T07:46:01Z,0 1 2 3 4 5 6 7
