schema_version,provider,provider_detail,operation,m,n,activation_dtype,weight_dtype,weight_mode,eps,cold_compile_ms,cold_compile_reused,median_us,p10_us,p90_us,logical_bytes,logical_gbps,peak_bw_gbps,peak_bw_pct,rotation_buffers,rotation_working_set_bytes,l2_target_bytes,l2_eviction_between_calls,timed_samples
2,quack_tuned,"quack.rmsnorm.rmsnorm_fwd_tuned (CuTe, autotuned)",fwd,1,4096,float16,float16,same,1e-06,10.706395,False,3.836,3.7136,3.9992,24576,6.406674,3182.324817,0.201321,4,98304,157286400,True,12
2,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,1,4096,float16,float16,same,1e-06,1.446705,False,3.776,3.6056,4.0456,24576,6.508475,3182.324817,0.204519,4,98304,157286400,True,12
2,torch,torch.nn.functional.rms_norm,fwd,1,4096,float16,float16,same,1e-06,,False,9.768,9.44,9.9408,24576,2.515971,3182.324817,0.079061,4,98304,157286400,True,12
2,quack_tuned,"quack.rmsnorm.rmsnorm_bwd_tuned (CuTe, autotuned)",bwd,1,4096,float16,float16,same,1e-06,3.243591,False,14.92,14.7784,15.1848,40964,2.745576,3182.324817,0.086276,4,163856,157286400,True,12
2,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,1,4096,float16,float16,same,1e-06,1.167198,False,15.328,15.2128,15.552,40964,2.672495,3182.324817,0.083979,4,163856,157286400,True,12
2,torch,torch.nn.functional.rms_norm autograd,bwd,1,4096,float16,float16,same,1e-06,,False,30.628,29.824799,32.244802,40964,1.337469,3182.324817,0.042028,4,163856,157286400,True,12
2,quack_tuned,"quack.rmsnorm.rmsnorm_fwd_tuned (CuTe, autotuned)",fwd,1,4096,float16,float32,float32,1e-06,1.599868,False,4.024,3.872,4.1824,32768,8.143141,3182.324817,0.255887,4,131072,157286400,True,12
2,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,1,4096,float16,float32,float32,1e-06,1.076785,False,3.84,3.6888,4.0208,32768,8.533333,3182.324817,0.268148,4,131072,157286400,True,12
2,torch,torch.nn.functional.rms_norm,fwd,1,4096,float16,float32,float32,1e-06,,False,23.444,22.876001,26.8576,32768,1.397714,3182.324817,0.043921,4,131072,157286400,True,12
2,quack_tuned,"quack.rmsnorm.rmsnorm_bwd_tuned (CuTe, autotuned)",bwd,1,4096,float16,float32,float32,1e-06,2.909945,False,11.716,11.6136,11.9048,57348,4.894845,3182.324817,0.153813,4,229392,157286400,True,12
2,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,1,4096,float16,float32,float32,1e-06,1.125878,False,12.144,12.0056,12.2584,57348,4.722332,3182.324817,0.148393,4,229392,157286400,True,12
2,torch,torch.nn.functional.rms_norm autograd,bwd,1,4096,float16,float32,float32,1e-06,,False,130.832002,128.466401,135.025607,57348,0.438333,3182.324817,0.013774,4,229392,157286400,True,12
2,quack_tuned,"quack.rmsnorm.rmsnorm_fwd_tuned (CuTe, autotuned)",fwd,1,4096,bfloat16,bfloat16,same,1e-06,1.632689,False,3.708,3.608,3.8984,24576,6.627832,3182.324817,0.20827,4,98304,157286400,True,12
2,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,1,4096,bfloat16,bfloat16,same,1e-06,1.078329,False,3.844,3.6752,3.96,24576,6.39334,3182.324817,0.200902,4,98304,157286400,True,12
2,torch,torch.nn.functional.rms_norm,fwd,1,4096,bfloat16,bfloat16,same,1e-06,,False,9.768,9.5792,10.0264,24576,2.515971,3182.324817,0.079061,4,98304,157286400,True,12
2,quack_tuned,"quack.rmsnorm.rmsnorm_bwd_tuned (CuTe, autotuned)",bwd,1,4096,bfloat16,bfloat16,same,1e-06,3.778207,False,14.76,14.6408,15.2224,40964,2.775339,3182.324817,0.087211,4,163856,157286400,True,12
2,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,1,4096,bfloat16,bfloat16,same,1e-06,1.141739,False,15.256,15.076,15.4696,40964,2.685108,3182.324817,0.084376,4,163856,157286400,True,12
2,torch,torch.nn.functional.rms_norm autograd,bwd,1,4096,bfloat16,bfloat16,same,1e-06,,False,32.224,30.535999,34.7656,40964,1.271226,3182.324817,0.039946,4,163856,157286400,True,12
2,quack_tuned,"quack.rmsnorm.rmsnorm_fwd_tuned (CuTe, autotuned)",fwd,1,4096,bfloat16,float32,float32,1e-06,1.60529,False,3.748,3.5848,3.9152,32768,8.742796,3182.324817,0.27473,4,131072,157286400,True,12
2,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,1,4096,bfloat16,float32,float32,1e-06,1.105158,False,3.844,3.736,3.9856,32768,8.524454,3182.324817,0.267869,4,131072,157286400,True,12
2,torch,torch.nn.functional.rms_norm,fwd,1,4096,bfloat16,float32,float32,1e-06,,False,21.956,21.2648,23.4648,32768,1.492439,3182.324817,0.046898,4,131072,157286400,True,12
