repeat,warmup,output_tps,accept_length,verify_steps,ttft_s,elapsed_s,first_event_tokens,output_tokens,max_repeated_16gram,output_text_sha256
0,True,150.23681120919088,,,0.1697661094367504,6.979016064666212,1,1024,2,176b02962c53189489d32fa091820a5f19f263ed140b8a610a321f2e894bcfe0
1,False,150.23093331305597,,,0.14216286595910788,6.951679238118231,1,1024,12,df5777ccf353addf4229430e6e1a9399b2904c7b66a5ee2fbe0ad3790f25fa2b
2,False,150.18244018017384,,,0.14235717337578535,6.954072303138673,1,1024,15,c0fa92474cf867ee23e9232454977ab8f03b90a1ca9a840a865619502de35257
3,False,150.23011570051304,,,0.1422854345291853,6.95183886680752,1,1024,332,0a3a42bd37095b4c43814c39bba8e62850ceb52e57cccbe8c3e49293799fc67b
4,False,150.21494271619935,,,0.14236555434763432,6.952606809325516,1,1024,19,be30942d6ad270e84269d72a6612bce5b2ffdebb659cdd372793e831f09374ca
5,False,150.21711691213594,,,0.1433629635721445,6.953505649231374,1,1024,15,c0fa92474cf867ee23e9232454977ab8f03b90a1ca9a840a865619502de35257
6,False,150.22234254887928,,,0.14304540678858757,6.95295119471848,1,1024,358,da5d8202180b10b649de1815f1fdbdcfd4269d91ec9598f3c97b5aeb9d86a9a8
