repeat,warmup,output_tps,accept_length,verify_steps,ttft_s,elapsed_s,first_event_tokens,output_tokens,max_repeated_16gram,output_text_sha256
0,True,211.9766145250174,,,2.387711982941255,7.213716031983495,1,1024,71,7076bdc9c121897d313d9702decf84a0761964da365288a5cdb70225ead61a80
1,False,211.75660916164736,,,0.2006629720563069,5.031681017018855,1,1024,247,081af291c18c51ae49c3ae8e6bf73ae25c4fb7dd9f204a288df72ddbd161e227
2,False,211.876079542764,,,0.19700335408560932,5.025297337095253,1,1024,22,20fe845ded58563247cf05c3f4ae22ee4a0209f8d53c50d552712aaf6d186a49
3,False,211.737948150889,,,0.1999091210309416,5.031352936057374,1,1024,247,081af291c18c51ae49c3ae8e6bf73ae25c4fb7dd9f204a288df72ddbd161e227
4,False,209.39701618943164,,,0.19676892808638513,5.0822253620717674,1,1024,247,081af291c18c51ae49c3ae8e6bf73ae25c4fb7dd9f204a288df72ddbd161e227
5,False,211.81076310708616,,,0.20108554500620812,5.030868437024765,1,1024,24,48dd838c5340df212845a3d2e1b03ea93b45cf2c4b39f6c538f6ae5c839afa6b
6,False,211.83824024640793,,,0.19408464198932052,5.02324107196182,1,1024,2,6457f92e75d6937c7fee19ed626997262dfc669e4f38042ebfe225282b734269
