repeat,warmup,output_tps,accept_length,verify_steps,ttft_s,elapsed_s,first_event_tokens,output_tokens,max_repeated_16gram,output_text_sha256
0,True,277.08153908737825,2.5409429280397022,403,0.16920299176126719,3.861256974749267,1,1024,2,300bff39c6e05dbe2cac303e700ddf99d76626b1d2130b53ba746eed403a137f
1,False,487.1654983500222,4.452173913043478,230,0.14428581297397614,2.2441882146522403,1,1024,7,f11a12a61d19b424d6517b0f84192b7da0f5f4c7426639449b5f22914ad79b05
2,False,530.0364852931409,4.807511737089202,213,0.14480082876980305,2.0748566426336765,1,1024,8,7fb49cc205433252b07a0c97c0afda00c9226efcc0e3ccf1d9e200e80c9f0bdf
3,False,288.3947805721507,2.6256410256410256,390,0.14346516132354736,3.6906860852614045,1,1024,1,62ce05410323fc5da62ffee2430f89eb789935ad77a0f576cca93a426bb9c377
4,False,479.23240096551143,4.394849785407725,233,0.14427790232002735,2.2789415810257196,1,1024,7,f7ba1d9ba060599b48d4bcdba2a73f3bbfb3ddbbeacd35a96bc1fa3ec5493660
5,False,426.007750278154,3.893536121673004,263,0.14454253017902374,2.5459072925150394,1,1024,53,265d913397ab0d46f46556ca23f56affaf56ecf5e56ea3de6050ac395d32411c
6,False,372.2187671265578,3.4019933554817277,301,0.1440363647416234,2.892420085147023,1,1024,2,de52edf39cd764c73d4a0c344e5e2e8f90282479c2a05a35de48ce8b1ec2b2b7
