repeat,warmup,output_tps,accept_length,verify_steps,ttft_s,elapsed_s,first_event_tokens,output_tokens,max_repeated_16gram,output_text_sha256
0,True,598.2489658220303,5.475935828877005,187,0.1587434895336628,1.8687339089810848,1,1024,2,76df18458b1ba71b2a63244dc9988a38bc05d1801342af7f893499465dca4a1e
1,False,591.8462344876028,5.505376344086022,186,0.1450545024126768,1.873543999157846,1,1024,11,e9e51b63729dd39082e6a7647a830715c21f7983d802fb3fe605376bd3277353
2,False,604.2876206703812,5.535135135135135,185,0.1448402227833867,1.8377426834776998,1,1024,239,7a33bc6a66250ecd1aa0f7a4a710ec4b0cb25faf8c1372e87ead58ccc82ffcad
3,False,600.5272229307286,5.505376344086022,186,0.14465068373829126,1.8481538072228432,1,1024,201,1995f0ffa7cde4482e29787703e6992a3f0de7353cd1da5ff7b0b7d5d4b09a60
4,False,605.7166778994266,5.535135135135135,185,0.14397685881704092,1.8328852830454707,1,1024,15,534e88f3af462dd24f05571c3cdc7e4315ccc64f36ad0a1dff0212939694c2aa
5,False,593.867961083036,5.446808510638298,188,0.14407313708215952,1.866678273305297,1,1024,1,25c05ba4eb79201ff52aed62e6a96e131d020cd5bacaad3f6bf912eac1ab10c7
6,False,601.4120324464901,5.505376344086022,186,0.143571469001472,1.8445683643221855,1,1024,223,8052fb26ebb48b9fbe1caab808f7d0eb3821f20b0b16fb42f1d8ac982924a62e
