repeat,warmup,output_tps,accept_length,verify_steps,ttft_s,elapsed_s,first_event_tokens,output_tokens,max_repeated_16gram,output_text_sha256
0,True,598.6885927718187,5.475935828877005,187,0.17332946229726076,1.882064207457006,1,1024,0,f09472586c848011e995fdc5a1dd38a6d095ec9da9797927fc2083539a5c69ed
1,False,593.2233842508591,5.505376344086022,186,0.14479731768369675,1.8692741794511676,1,1024,11,e9e51b63729dd39082e6a7647a830715c21f7983d802fb3fe605376bd3277353
2,False,606.5285186686893,5.535135135135135,185,0.1446865303441882,1.831334344111383,1,1024,239,7a33bc6a66250ecd1aa0f7a4a710ec4b0cb25faf8c1372e87ead58ccc82ffcad
3,False,605.024835642567,5.505376344086022,186,0.14367086999118328,1.8345105508342385,1,1024,293,bf34acba81471972d0a174b5cdc4743cf677c8f077cc2c7e25036ae1b333cc83
4,False,598.9466294340607,5.535135135135135,185,0.14473142940551043,1.8527300218120217,1,1024,3,5bfa71c2ef179b67701f6050ca11cf9d2f96f856e7e8f3596a0870ef6fee7dcd
5,False,595.4546244212166,5.446808510638298,188,0.1446838090196252,1.8626988483592868,1,1024,5,a5a2c66e09ca24240ce972db9d4cb39cf027a36c01be5e4149155d82695ec60b
6,False,608.8986181816282,5.505376344086022,186,0.14484991692006588,1.8249325603246689,1,1024,1,032d85387a837cd1ca24f85846391270851431e8ee1ef5e8c00faad8e4b38754
