repeat,warmup,output_tps,accept_length,verify_steps,ttft_s,elapsed_s,first_event_tokens,output_tokens,max_repeated_16gram,output_text_sha256
0,True,283.0631363814096,,,2.397090587997809,6.011125297984108,1,1024,45,9d30beb85cd0e8a8aad6985d21e16da1fda408c59c4bb39f1c800f33a25cf291
1,False,282.78041337951055,,,0.21069882705342025,3.828346838010475,1,1024,247,081af291c18c51ae49c3ae8e6bf73ae25c4fb7dd9f204a288df72ddbd161e227
2,False,282.8228829188833,,,0.2103300659218803,3.8274348399136215,1,1024,497,8612086e3310de652e2e7b7ec5bdd7fc66ea5ac5ce6063a705a51ad1dc62fa36
3,False,282.7142095380494,,,0.20749363000504673,3.8259887939784676,1,1024,497,8612086e3310de652e2e7b7ec5bdd7fc66ea5ac5ce6063a705a51ad1dc62fa36
4,False,282.8583908232435,,,0.20452586596366018,3.821176575962454,1,1024,492,3e6867ea2ce8e13cf7a96e8a8cdedd469f3cb6b3c01dc96576442057b749e26c
5,False,283.36698809875793,,,0.21572774299420416,3.825887158047408,1,1024,44,0e91ed83650ae53c4bcf2f43cba3e96a32985743a3c5dedf407c6ad6cfd54545
6,False,282.7965312938141,,,0.20744193892460316,3.82488376297988,1,1024,497,8612086e3310de652e2e7b7ec5bdd7fc66ea5ac5ce6063a705a51ad1dc62fa36
