repeat,warmup,output_tps,accept_length,verify_steps,ttft_s,elapsed_s,first_event_tokens,output_tokens,max_repeated_16gram,output_text_sha256
0,True,593.929849929285,5.475935828877005,187,0.17000141646713018,1.8924270533025265,1,1024,115,46712309403aa1086cf8ca1212f75b6ed9723620c1a5cf89542ea04ae30de0a2
1,False,601.5143655190834,5.505376344086022,186,0.14447705261409283,1.845184564590454,1,1024,5,a31a04126e4e0edda276f1c1e98847963099d0ddfd16052a97ebf552783b984a
2,False,601.4534748529151,5.535135135135135,185,0.14489692635834217,1.8457766165956855,1,1024,24,1a547bca2b8ad877526b249031cb244d27b9c54b82308ec5f385cbdc325cee40
3,False,603.4592521349223,5.505376344086022,186,0.14433477353304625,1.8395610814914107,1,1024,217,8d0afc4814c9a1708cb623b67d37a45233f0b818568d2bb2de79ba6299e3462b
4,False,603.8455395649626,5.535135135135135,185,0.14448535162955523,1.838627202436328,1,1024,1,517077c6360c21f0dedd706076db765207f35e25191d8d79aae47e5e4bd699ee
5,False,589.1709544491767,5.446808510638298,188,0.14452131185680628,1.8808594532310963,1,1024,11,cb8bb6fac87c0573ae2274fa0d6ead2c47047db987e6f65ca6adeea91419f8cd
6,False,602.7824864704913,5.505376344086022,186,0.14429135341197252,1.8414209531620145,1,1024,6,a20b63c317c98ad872fa8243b48d55bbfbec5aa87dc8e2fa96b209a39abad729
