repeat,warmup,output_tps,accept_length,verify_steps,ttft_s,elapsed_s,first_event_tokens,output_tokens,max_repeated_16gram,output_text_sha256
0,True,283.7177486222145,2.585858585858586,396,0.16871092934161425,3.7744071008637547,1,1024,1,db66c23c23bcb8687091b850225390937432126ddc44f3ad79ac6a7b4a5b734e
1,False,529.5503053093296,4.8530805687203795,211,0.14475843869149685,2.07658623624593,1,1024,10,105432a903c681a93db0c4a87f855768f58e36384e32799b4b69be35e125d51b
2,False,381.1492642178691,3.436241610738255,298,0.14439245127141476,2.8283803164958954,1,1024,1,82b417080bf35b6f05d08221868a570ff5e427dc79314b03bbfe45857a921a26
3,False,579.4648811054645,5.251282051282051,195,0.14457172993570566,1.9099936448037624,1,1024,62,40340c98399edc7d51f3b8226b35a71de0e9462e5f8fd937266b9b9571bb3a33
4,False,452.1353422440664,4.145748987854251,247,0.14429566264152527,2.4068925101310015,1,1024,4,f3abdeab72876e393da43d9022854a1851a5c9dfd5ecbbec432a6baf5484e3db
5,False,474.21685723644634,4.302521008403361,238,0.14452766068279743,2.3017685608938336,1,1024,3,f2d48e0869cc254444f0ce1f69b2b1c1b0d8af9d43c962f6226230d0d8bc445d
6,False,380.7976385481161,3.471186440677966,295,0.14461190905421972,2.831078148446977,1,1024,2,2c4d7fc32331d9bfde26cef03a43bbcc27b7ed7d971908a4cca4be0fce8cd2f2
